epoch,phase,accuracy,auc,loss,val_accuracy,val_auc,val_loss
1,phase1_frozen_backbone,0.5693359375,0.545690655708313,2.828923225402832,0.607421875,0.5993905663490295,1.0576908588409424
2,phase1_frozen_backbone,0.61328125,0.6327334642410278,1.8035091161727905,0.54296875,0.5908967852592468,1.0765882730484009
3,phase1_frozen_backbone,0.67578125,0.7270256280899048,1.179896593093872,0.60546875,0.6106703281402588,0.8660757541656494
4,phase1_frozen_backbone,0.6953125,0.7352421879768372,1.0710448026657104,0.6357421875,0.6287882328033447,0.7940488457679749
5,phase1_frozen_backbone,0.7451171875,0.8161935210227966,0.8093034625053406,0.6162109375,0.625990629196167,0.8000079393386841
6,phase1_frozen_backbone,0.767578125,0.8382948040962219,0.7202502489089966,0.6103515625,0.6326040029525757,0.7909138202667236
7,phase1_frozen_backbone,0.779296875,0.8691357970237732,0.6303711533546448,0.623046875,0.6374653577804565,0.7831379771232605
8,phase1_frozen_backbone,0.828125,0.9006277918815613,0.5510953068733215,0.6044921875,0.6403568983078003,0.8205069899559021
9,phase2_block5_unfrozen,0.8232421875,0.9062798023223877,0.5189175605773926,0.6787109375,0.6665443778038025,0.7148858904838562
10,phase2_block5_unfrozen,0.880859375,0.9533538222312927,0.3776029944419861,0.66015625,0.6681679487228394,0.7247599959373474
11,phase2_block5_unfrozen,0.892578125,0.9559786915779114,0.3665195405483246,0.6572265625,0.6552072167396545,0.7479251623153687
12,phase2_block5_unfrozen,0.919921875,0.9770104289054871,0.27806052565574646,0.6767578125,0.6659228801727295,0.7501197457313538
