image_path,mean_patch_area,union_area,obj_coverage,main_obj_covered,efficiency
/home/omen_pc1/ava/images/817699.jpg,0.10080729166666665,0.3951,0.25,1.0,2.4799793335055544
/home/omen_pc1/ava/images/793812.jpg,0.07749194964871195,0.2542,1.0,1.0,12.90456627473202
/home/omen_pc1/ava/images/689730.jpg,0.07975150517146225,0.3823,0.5,0.0,6.269474148795335
/home/omen_pc1/ava/images/650819.jpg,0.11645128622977537,0.4656,1.0,1.0,8.587281707020859
/home/omen_pc1/ava/images/151106.jpg,0.07003124999999998,0.2896,0.25,1.0,3.5698348951361014
/home/omen_pc1/ava/images/60272.jpg,0.09450378859186748,0.4524,0.0,0.0,0.0
/home/omen_pc1/ava/images/59137.jpg,0.08998538674729148,0.2601,0.5,1.0,5.556457754681482
/home/omen_pc1/ava/images/772565.jpg,0.058848019931433126,0.175,1.0,1.0,16.992925185335917
/home/omen_pc1/ava/images/255552.jpg,0.08518945312500001,0.2972,0.0,0.0,0.0
/home/omen_pc1/ava/images/759342.jpg,0.08054633371824482,0.2978,0.0,0.0,0.0
/home/omen_pc1/ava/images/905341.jpg,0.09033374995078966,0.4232,0.5,1.0,5.535029822988426
/home/omen_pc1/ava/images/824766.jpg,0.0918268656716418,0.3479,0.6666666666666666,1.0,7.260039442602343
/home/omen_pc1/ava/images/263445.jpg,0.10975926189255625,0.4645,0.5,0.0,4.555424220048526
/home/omen_pc1/ava/images/22754.jpg,0.0951015625,0.3339,0.6666666666666666,0.0,7.010049563241052
/home/omen_pc1/ava/images/18038.jpg,0.06855349722991688,0.1938,0.5,1.0,7.293573926988498
/home/omen_pc1/ava/images/34484.jpg,0.09063540359559612,0.3815,1.0,1.0,11.033216164203068
/home/omen_pc1/ava/images/477163.jpg,0.09026078935599285,0.365,0.25,1.0,2.7697519796108594
/home/omen_pc1/ava/images/177.jpg,0.10076171874999999,0.3536,1.0,1.0,9.924403954254702
/home/omen_pc1/ava/images/551820.jpg,0.05439524737770353,0.18,1.0,1.0,18.3839590443686
/home/omen_pc1/ava/images/666441.jpg,0.10330898217221962,0.3716,1.0,1.0,9.679700438176475
/home/omen_pc1/ava/images/737982.jpg,0.10095627956196665,0.4074,0.6666666666666666,0.0,6.603518568228029
/home/omen_pc1/ava/images/37760.jpg,0.10613211914439964,0.439,0.5,1.0,4.71110917251843
/home/omen_pc1/ava/images/384369.jpg,0.13044001351005743,0.4568,1.0,1.0,7.666359218238628
/home/omen_pc1/ava/images/236273.jpg,0.050178153434518404,0.1694,1.0,1.0,19.92899163387872
/home/omen_pc1/ava/images/189331.jpg,0.10549663971893004,0.4163,1.0,1.0,9.478974900662761
/home/omen_pc1/ava/images/674930.jpg,0.09085416666666665,0.3444,1.0,1.0,11.006649850951618
/home/omen_pc1/ava/images/699248.jpg,0.09423324909377521,0.322,0.25,1.0,2.6529914059443622
/home/omen_pc1/ava/images/454268.jpg,0.11556012292014026,0.4284,0.5,1.0,4.326752060877724
/home/omen_pc1/ava/images/741478.jpg,0.11005497128263972,0.3943,1.0,1.0,9.086368278919736
/home/omen_pc1/ava/images/203816.jpg,0.09851953124999999,0.3667,0.0,0.0,0.0
/home/omen_pc1/ava/images/103738.jpg,0.0963170402381273,0.343,1.0,1.0,10.382378834811288
/home/omen_pc1/ava/images/286907.jpg,0.0828076923076923,0.3162,1.0,1.0,12.076172782164422
/home/omen_pc1/ava/images/415113.jpg,0.10057295000721023,0.4403,0.5,1.0,4.971515700435895
/home/omen_pc1/ava/images/479681.jpg,0.09063540693345631,0.356,0.5,1.0,5.5166078789395785
/home/omen_pc1/ava/images/593479.jpg,0.09776615969581748,0.3328,0.5,0.0,5.114244044725329
/home/omen_pc1/ava/images/13691.jpg,0.12301313808447038,0.4683,0.0,0.0,0.0
/home/omen_pc1/ava/images/807744.jpg,0.10259790757822285,0.4569,0.5,1.0,4.873393734845804
/home/omen_pc1/ava/images/529139.jpg,0.12331863786308003,0.484,1.0,1.0,8.10907432427444
/home/omen_pc1/ava/images/938545.jpg,0.07341646779158745,0.2399,1.0,1.0,13.620922254646889
