filename,koniq_score_100,topiq_mixed112_score_100,existing_technical_score_100,candidate_c6_score,delta_c6_existing,exif_orientation_original,exif_transpose_applied,image_size_before_transpose,image_size_after_transpose,wsl_koniq_score_100,wsl_topiq_score_100,wsl_c6_score,diff_koniq,diff_topiq,diff_c6,abs_diff_koniq,abs_diff_topiq,abs_diff_c6
20250129_102520.jpg,37.23,33.09,44.78,34.33,-10.45,6,True,4000x2252,2252x4000,33.043235778808594,29.49719727039337,30.561008822917938,-4.186764221191403,-3.592802729606632,-3.7689911770820608,4.186764221191403,3.592802729606632,3.7689911770820608
20250129_103313.jpg,50.06,51.46,55.65,51.04,-4.61,6,True,4000x2252,2252x4000,45.90238571166992,48.72133135795593,47.87564766407013,-4.15761428833008,-2.7386686420440682,-3.1643523359298698,4.15761428833008,2.7386686420440682,3.1643523359298698
20250129_054504.jpg,72.87,75.58,75.09,74.77,-0.32,6,True,4000x3000,3000x4000,71.9465560913086,73.30420017242432,72.8969069480896,-0.9234439086914108,-2.275799827575682,-1.873093051910402,0.9234439086914108,2.275799827575682,1.873093051910402
20250204_133404.jpg,67.13,78.62,70.69,75.13,4.44,6,True,4000x2252,2252x4000,70.55927276611328,77.58223414421082,75.47534573078156,3.429272766113286,-1.0377658557891891,0.3453457307815597,3.429272766113286,1.0377658557891891,0.3453457307815597
20250204_163550.jpg,71.19,72.53,74.22,72.13,-2.1,6,True,4000x3000,3000x4000,71.58091735839844,72.27495312690735,72.06674239635467,0.3909173583984398,-0.2550468730926525,-0.06325760364532584,0.3909173583984398,0.2550468730926525,0.06325760364532584
20250204_135520.jpg,68.76,74.73,73.37,72.94,-0.43,6,True,4000x3000,3000x4000,68.54102325439453,74.38918352127075,72.63473544120788,-0.21897674560547387,-0.340816478729252,-0.30526455879211767,0.21897674560547387,0.340816478729252,0.30526455879211767
20250205_000515.jpg,42.77,33.29,50.94,36.14,-14.8,6,True,4000x3000,3000x4000,43.438621520996094,34.644946455955505,37.28304897546768,0.6686215209960906,1.3549464559555062,1.1430489754676785,0.6686215209960906,1.3549464559555062,1.1430489754676785
20250204_170733.jpg,70.6,77.38,72.5,75.35,2.84,6,True,4000x3000,3000x4000,73.65288543701172,76.53186321258545,75.66816987991334,3.0528854370117244,-0.8481367874145462,0.31816987991334145,3.0528854370117244,0.8481367874145462,0.31816987991334145
20250204_174237(0).jpg,67.36,78.62,70.62,75.24,4.62,6,True,4000x3000,3000x4000,68.15904235839844,78.99964451789856,75.74746387004852,0.7990423583984381,0.379644517898555,0.5074638700485252,0.7990423583984381,0.379644517898555,0.5074638700485252
20250205_072644.jpg,58.23,69.76,61.99,66.23,4.23,6,True,4000x3000,3000x4000,62.87992477416992,70.75353860855103,68.3914544582367,4.649924774169925,0.9935386085510203,2.1614544582366904,4.649924774169925,0.9935386085510203,2.1614544582366904
