filename,exif_orientation_original,exif_transpose_applied,image_size_before_transpose,image_size_after_transpose,wsl_koniq_score_100,wsl_topiq_score_100,wsl_c6_score
20250129_102520.jpg,6,True,4000x2252,2252x4000,33.043235778808594,29.49719727039337,30.561008822917938
20250129_103313.jpg,6,True,4000x2252,2252x4000,45.90238571166992,48.72133135795593,47.87564766407013
20250129_054504.jpg,6,True,4000x3000,3000x4000,71.9465560913086,73.30420017242432,72.8969069480896
20250204_133404.jpg,6,True,4000x2252,2252x4000,70.55927276611328,77.58223414421082,75.47534573078156
20250204_163550.jpg,6,True,4000x3000,3000x4000,71.58091735839844,72.27495312690735,72.06674239635467
20250204_135520.jpg,6,True,4000x3000,3000x4000,68.54102325439453,74.38918352127075,72.63473544120788
20250205_000515.jpg,6,True,4000x3000,3000x4000,43.438621520996094,34.644946455955505,37.28304897546768
20250204_170733.jpg,6,True,4000x3000,3000x4000,73.65288543701172,76.53186321258545,75.66816987991334
20250204_174237(0).jpg,6,True,4000x3000,3000x4000,68.15904235839844,78.99964451789856,75.74746387004852
20250205_072644.jpg,6,True,4000x3000,3000x4000,62.87992477416992,70.75353860855103,68.3914544582367
20250217_144845.jpg,6,True,4000x3000,3000x4000,67.51306915283203,71.84621095657349,70.54626841545105
1738744324186.jpg,1,False,3024x4032,3024x4032,46.68764114379883,56.60439729690552,53.62937045097351
IMG_2738.JPG,8,True,1920x1280,1280x1920,53.34431838989258,45.37069499492645,47.762782013416285
IMG_2748.JPG,6,True,1920x1280,1280x1920,57.853843688964844,65.88747501373291,63.477385616302485
IMG_2739.JPG,8,True,1920x1280,1280x1920,54.562896728515625,52.048009634017944,52.80247576236725
IMG_2729.JPG,6,True,1920x1280,1280x1920,59.231781005859375,52.89151668548584,54.7935959815979
IMG_2781.JPG,8,True,1920x1280,1280x1920,61.09419631958008,67.28795766830444,65.42982926368714
IMG_2785.JPG,1,False,1920x1280,1920x1280,67.42926025390625,69.7196900844574,69.03256113529206
20240510_213907.jpg,6,True,4000x3000,3000x4000,66.32227325439453,74.80114102363586,72.25748069286347
20240502_193823.jpg,6,True,4000x2252,2252x4000,56.62351989746094,63.623905181884766,61.52378959655762
20240510_191716.jpg,6,True,4000x3000,3000x4000,72.74655151367188,72.73457646369934,72.7381689786911
20240509_154353.jpg,6,True,4000x3000,3000x4000,69.24113464355469,76.44509077072144,74.2839039325714
20240515_073118.jpg,1,False,4000x3000,4000x3000,72.12784576416016,71.60226106643677,71.75993647575379
20240515_092725.jpg,6,True,4000x3000,3000x4000,70.24998474121094,73.77586364746094,72.71809997558594
20240517_060242.jpg,6,True,4000x3000,3000x4000,65.19012451171875,68.35961937904358,67.40877091884613
IMG_20240519_215827_510.jpg,none,False,1440x1800,1440x1800,69.15682983398438,74.86435174942017,73.15209517478942
20240517_060245.jpg,6,True,4000x3000,3000x4000,58.00145721435547,60.66024899482727,59.86261146068573
20240506_140415.jpg,6,True,4000x3000,3000x4000,74.84385681152344,76.14265084266663,75.75301263332366
20240503_210355.jpg,6,True,4000x2252,2252x4000,77.54808044433594,74.87691640853882,75.67826561927795
20240506_120558.jpg,6,True,4000x3000,3000x4000,71.26177215576172,69.07137036323547,69.72849090099335
20240505_153023.jpg,6,True,4000x3000,3000x4000,68.27192687988281,65.20930528640747,66.12809176445008
1715855266134.jpg,6,True,3088x2316,2316x3088,60.18368148803711,58.410000801086426,58.942105007171634
20240505_170541.jpg,6,True,4000x3000,3000x4000,81.09152221679688,78.84168028831482,79.51663286685944
20240101_143158.jpg,1,False,4000x3000,4000x3000,72.36864471435547,73.74558448791504,73.33250255584717
20231231_150055.jpg,6,True,4000x3000,3000x4000,77.12735748291016,78.5772442817688,78.1422782421112
1704296944756.jpg,6,True,4032x3024,3024x4032,70.85006713867188,75.12645721435547,73.84354019165039
1720499657653.jpg,none,False,540x1200,540x1200,61.18049240112305,65.73514938354492,64.36875228881836
1720499666985.jpg,none,False,1200x540,1200x540,74.99299621582031,77.36815214157104,76.65560536384582
1720499666964.jpg,none,False,1200x540,1200x540,70.55189514160156,77.4398922920227,75.37349314689637
1675564423029-24.jpg,6,True,4032x3024,3024x4032,71.73983764648438,64.9537444114685,66.98957238197326
1675342165226-13.jpg,6,True,4032x3024,3024x4032,63.957130432128906,76.18995904922485,71.9571304321289
1675342165226-3.jpg,6,True,4032x3024,3024x4032,65.43170166015625,78.54803800582886,73.43170166015625
1675564674752-15.jpg,6,True,4032x3024,3024x4032,74.4671859741211,74.91636276245117,74.78160972595215
20230201_181300.jpg,6,True,4000x2252,2252x4000,58.44868850708008,71.29032611846924,66.44868850708008
1675564423029-6.jpg,6,True,4032x3024,3024x4032,68.72745513916016,65.35050868988037,66.3635926246643
1675342165226-5.jpg,6,True,4032x3024,3024x4032,63.66212463378906,79.91332411766052,71.66212463378906
20230201_181510.jpg,6,True,4000x2252,2252x4000,53.842384338378906,67.40996837615967,61.842384338378906
1675564423029-9.jpg,6,True,4032x3024,3024x4032,64.66319274902344,66.82730913162231,66.17807421684265
1675564674752-17.jpg,6,True,4032x3024,3024x4032,73.03414154052734,73.93882274627686,73.66741838455201
1675564674752-2.jpg,6,True,4032x3024,3024x4032,73.73895263671875,76.42062306404114,75.61612193584442
