epoch,loss,mae,rmse,val_loss,val_mae,val_rmse
1,0.005733370780944824,0.09615284204483032,0.12372443825006485,0.004644802305847406,0.08393529057502747,0.10701143741607666
2,0.004205465782433748,0.07906313240528107,0.10027381777763367,0.004049259703606367,0.07709869742393494,0.09807312488555908
3,0.0037976677995175123,0.07409173250198364,0.09431913495063782,0.0037978533655405045,0.07440294325351715,0.09407437592744827
4,0.003551055211573839,0.07111865282058716,0.09048986434936523,0.0036675352603197098,0.07257496565580368,0.09250197559595108
5,0.0033624591305851936,0.06876015663146973,0.08751848340034485,0.003617100650444627,0.07184184342622757,0.09149059653282166
6,0.0031789331696927547,0.06649312376976013,0.08482248336076736,0.003649474587291479,0.07290306687355042,0.0916430652141571
7,0.0030300163198262453,0.06467332690954208,0.08235529810190201,0.0036202468909323215,0.07215242832899094,0.09152405709028244
8,0.0029062589164823294,0.06299000233411789,0.08066050708293915,0.003691548714414239,0.07304514199495316,0.09221667051315308
9,0.0027836209628731012,0.061462730169296265,0.07851625978946686,0.0037240036763250828,0.07338407635688782,0.09299539774656296
10,0.0027390627656131983,0.060855455696582794,0.07784947007894516,0.003638290800154209,0.07227371633052826,0.09158123284578323
