epoch,reg_loss,rank_loss,total_loss,val_reg_loss,val_reg_loss_samples,quick_flive_val_srcc,quick_flive_pred_std,quick_flive_possible_mode_collapse
1,0.002359013771638274,0.5270019769668579,0.05505923554301262,0.002771459985524416,1024,0.46548755900865463,0.07827556878328323,False
2,0.0026690743397921324,0.5003549456596375,0.05270456150174141,0.002942638238891959,1024,0.48341588160778426,0.08544531464576721,False
3,0.002678823424503207,0.48135513067245483,0.05081437528133392,0.003069290891289711,1024,0.4888849264179958,0.09066680818796158,False
4,0.0028350292704999447,0.45790281891822815,0.04862528294324875,0.0031581390649080276,1024,0.48870237956870044,0.09537960588932037,False
5,0.002846146235242486,0.48303109407424927,0.05114925280213356,0.0032017782796174288,1024,0.4921562410592947,0.09547213464975357,False
6,0.0031523907091468573,0.4809643626213074,0.05124882236123085,0.0032664730679243803,1024,0.49668280836492373,0.09889830648899078,False
7,0.003113735234364867,0.4749716818332672,0.050610899925231934,0.0032804643269628286,1024,0.4986788948469097,0.09925688058137894,False
8,0.0028434412088245153,0.44894465804100037,0.04773792624473572,0.003375588683411479,1024,0.5038972087118232,0.10206553339958191,False
9,0.003312080167233944,0.46029943227767944,0.04934202507138252,0.003403163980692625,1024,0.5038393288212575,0.10370801389217377,False
10,0.0032780214678496122,0.4541647434234619,0.04869449883699417,0.003485577180981636,1024,0.5067774792575638,0.10491964966058731,False
