epoch,loss,mae,rmse,val_loss,val_mae,val_rmse
1,0.009269852191209793,0.1352068930864334,0.1730934977531433,0.005227924324572086,0.08948112279176712,0.12337575107812881
2,0.005983399692922831,0.09872409701347351,0.12778088450431824,0.0039017556700855494,0.07695117592811584,0.09878385812044144
3,0.004894374869763851,0.08725529164075851,0.11069866269826889,0.0038193308282643557,0.07348080724477768,0.10097692161798477
4,0.0037002835888415575,0.07263044267892838,0.09432859718799591,0.0037762692663818598,0.07312407344579697,0.0967753529548645
5,0.0035737298894673586,0.07071077823638916,0.09146011620759964,0.004242992494255304,0.0775487944483757,0.10777544230222702
6,0.0028952264692634344,0.06357121467590332,0.08049245178699493,0.0038106273859739304,0.0730832889676094,0.09901129454374313
7,0.0025331906508654356,0.058207571506500244,0.07490546256303787,0.0034391474910080433,0.0687958374619484,0.09107041358947754
8,0.002420071978121996,0.056320659816265106,0.07336580008268356,0.0034541592467576265,0.06819409132003784,0.09294819831848145
9,0.0024093433748930693,0.05654185265302658,0.0729481428861618,0.003512696363031864,0.06881310790777206,0.0940450057387352
10,0.002392771188169718,0.056100331246852875,0.07246407866477966,0.0031618073116987944,0.06512361764907837,0.08753307163715363
11,0.00207409611903131,0.052374280989170074,0.06782221049070358,0.0033130506053566933,0.06863559037446976,0.0869579091668129
12,0.001991081517189741,0.05104208365082741,0.06602270156145096,0.0031290703918784857,0.06448864191770554,0.0867217481136322
13,0.001890827203169465,0.049271125346422195,0.06413905322551727,0.0031268189195543528,0.06456010788679123,0.08633482456207275
14,0.0017943436978384852,0.04807092249393463,0.061984773725271225,0.0030731691513210535,0.06305672973394394,0.08604864776134491
15,0.001786832814104855,0.04833045229315758,0.06111997365951538,0.0031900554895401,0.06655050814151764,0.08587979525327682
