epoch,train_loss,train_unified_loss,train_specific_loss,train_calib_loss,val_loss,val_unified_mae,val_unified_rmse,val_unified_srcc,val_unified_plcc,pred_mean,pred_std,target_mean,target_std,mode_collapse,val_spaq_mae,val_spaq_srcc,val_spaq_sample_count,val_koniq_mae,val_koniq_srcc,val_koniq_sample_count,val_flive_mae,val_flive_srcc,val_flive_sample_count
1,0.013958333991467953,0.007008051965385675,0.006950275972485542,0.0,0.004695267483502572,0.08328591287136078,0.11127650737762451,0.6479430474535112,0.7947150468826294,0.6553434133529663,0.13667631149291992,0.6238111853599548,0.17574390769004822,False,0.10167838633060455,0.8168054557372133,512,0.08858195692300797,0.7330417924078686,512,0.05322566628456116,0.2997938337626562,1024
2,0.009312648326158524,0.004962562583386898,0.004350090399384499,0.0,0.004064785901397628,0.07623520493507385,0.10089680552482605,0.6758260137834579,0.824280858039856,0.6405104994773865,0.1455506980419159,0.6238111853599548,0.17574390769004822,False,0.0952753946185112,0.8334240672554628,512,0.08196057379245758,0.7510893780756859,512,0.04695107787847519,0.2707454599957796,1024
3,0.008087679743766785,0.004392680712044239,0.0036950029898434877,0.0,0.003937642760955297,0.07450991123914719,0.09877722710371017,0.6816048288673419,0.8301244974136353,0.636219322681427,0.14502321183681488,0.6238111853599548,0.17574390769004822,False,0.09573357552289963,0.8425332813538214,512,0.07165185362100601,0.7938029720294631,512,0.04187620431184769,0.39930674889135254,1024
4,0.007177015300840139,0.003919659182429314,0.003257357981055975,0.0,0.003727539633555302,0.07240381836891174,0.09526906907558441,0.7018307002884783,0.8403358459472656,0.6242371797561646,0.1468941569328308,0.6238111853599548,0.17574390769004822,False,0.09502153098583221,0.8497546518684292,512,0.06865112483501434,0.8198429028201409,512,0.04192580282688141,0.396354908000143,1024
5,0.006947616580873728,0.003841943806037307,0.003105670679360628,0.0,0.0038773823041020087,0.07445234060287476,0.0966886579990387,0.7042503788306246,0.8443911075592041,0.6020519137382507,0.15169113874435425,0.6238111853599548,0.17574390769004822,False,0.0901947021484375,0.8529832533201374,512,0.0736851692199707,0.8086455282843907,512,0.04348692670464516,0.3802861025677705,1024
6,0.006638945546001196,0.0037018253933638334,0.0029371220152825117,0.0,0.0034931967629804493,0.0691613107919693,0.09155977517366409,0.718437411426177,0.8554030656814575,0.614764928817749,0.15421809256076813,0.6238111853599548,0.17574390769004822,False,0.08896604180335999,0.8577135912035037,512,0.06385204195976257,0.8275161084635588,512,0.04000578075647354,0.4041704389225245,1024
7,0.006295517552644014,0.003578364849090576,0.002717153402045369,0.0,0.0034953810310444627,0.06855660676956177,0.09241895377635956,0.7175595164572722,0.8520236611366272,0.6279663443565369,0.14202195405960083,0.6238111853599548,0.17574390769004822,False,0.08727084845304489,0.8650233412294798,512,0.06706124544143677,0.834056433775274,512,0.04016375541687012,0.3930480428796223,1024
8,0.006076693069189787,0.003455576952546835,0.002621116116642952,0.0,0.0034488400452037434,0.06788493692874908,0.09210456162691116,0.7193522719966281,0.8595919609069824,0.6441682577133179,0.14895300567150116,0.6238111853599548,0.17574390769004822,False,0.08737020939588547,0.8579317906951516,512,0.06551079452037811,0.8230058660822875,512,0.04027443379163742,0.41335136979064985,1024
9,0.0061515928246080875,0.003495053155347705,0.0026565399020910263,0.0,0.0033655585428949922,0.06758742034435272,0.0900091826915741,0.7240032546185856,0.8591772317886353,0.6207387447357178,0.15340904891490936,0.6238111853599548,0.17574390769004822,False,0.0869322270154953,0.8626539924778254,512,0.0629270002245903,0.8390947605760234,512,0.04055391252040863,0.42062149077319216,1024
10,0.005791506264358759,0.0032579200342297554,0.0025335834361612797,0.0,0.0033677352554261136,0.06728282570838928,0.08993162214756012,0.722887639022405,0.8594622015953064,0.6199707388877869,0.14974476397037506,0.6238111853599548,0.17574390769004822,False,0.09318878501653671,0.8615377373443599,512,0.06277160346508026,0.830859585133464,512,0.038927819579839706,0.4250844784886631,1024
