epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
1,0.60498046875,0.6388277411460876,0.6659369468688965,0.72509765625,0.7289936542510986,0.5565366744995117
2,0.0,0.0,0.0,0.72509765625,0.7289936542510986,0.5565366744995117
3,0.688232421875,0.7504950761795044,0.5901269912719727,0.661865234375,0.743139922618866,0.6245931386947632
4,0.0,0.0,0.0,0.661865234375,0.743139922618866,0.6245931386947632
5,0.734375,0.8125524520874023,0.529478907585144,0.715087890625,0.7505993247032166,0.560295820236206
6,0.0,0.0,0.0,0.715087890625,0.7505993247032166,0.560295820236206
7,0.771728515625,0.8578253984451294,0.47041580080986023,0.733642578125,0.746872067451477,0.5551621913909912
8,0.0,0.0,0.0,0.733642578125,0.746872067451477,0.5551621913909912
9,0.8232421875,0.9037733674049377,0.39451661705970764,0.685791015625,0.7418250441551208,0.6717590093612671
10,0.0,0.0,0.0,0.685791015625,0.7418250441551208,0.6717590093612671
11,0.859130859375,0.9363369941711426,0.3256070613861084,0.690673828125,0.7355942726135254,0.698259174823761
12,0.0,0.0,0.0,0.690673828125,0.7355942726135254,0.698259174823761
13,0.894287109375,0.9638639092445374,0.24979379773139954,0.687255859375,0.7241668105125427,0.8009947538375854
14,0.0,0.0,0.0,0.687255859375,0.7241668105125427,0.8009947538375854
15,0.92529296875,0.980705201625824,0.18433494865894318,0.700439453125,0.7126023173332214,0.9268407225608826
16,0.0,0.0,0.0,0.700439453125,0.7126023173332214,0.9268407225608826
17,0.946044921875,0.9866421222686768,0.151288241147995,0.7138671875,0.7011922597885132,0.9773339629173279
18,0.0,0.0,0.0,0.7138671875,0.7011922597885132,0.9773339629173279
19,0.96533203125,0.9944818615913391,0.09859559684991837,0.720947265625,0.6919431090354919,1.2428309917449951
20,0.0,0.0,0.0,0.720947265625,0.6919431090354919,1.2428309917449951
