image_path,available_models,reranking_ready,baseline_final_score,stage5_student_aesthetic_score,baseline_aadb_score,baseline_koniq_score,baseline_flive_image_score,baseline_flive_patch_mean,baseline_flive_patch_min,aadb_score,koniq_score,flive_image_score,flive_patch_mean,flive_patch_min,nima_mean_score,alamp_score,musiq_score,rgnet_score,pairwise_recovered_score,num_models
test_samples/KakaoTalk_20260330_180646779.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.5020735263824463,,37.6875,71.0,71.875,68.9375,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_01.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.4422273337841034,,31.515625,63.6875,70.4000015258789,69.375,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_02.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.4931034743785858,,38.71875,71.8125,72.07499694824219,69.1875,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_03.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.33851364254951477,,27.078125,54.21875,71.0999984741211,70.125,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_04.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.4643743932247162,,29.34375,62.5,71.125,70.5,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_05.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.5033499002456665,,37.5625,73.8125,72.125,69.5625,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_06.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.47123613953590393,,39.0,72.5625,72.0875015258789,69.5,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_07.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.4747915267944336,,39.84375,70.6875,71.86250305175781,70.3125,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_08.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.4652916491031647,,35.3125,63.375,71.0374984741211,69.9375,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_09.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.47042936086654663,,30.59375,63.375,71.01249694824219,70.125,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_10.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.4907769560813904,,43.0,72.5,72.13749694824219,69.6875,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_11.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.46046626567840576,,48.25,72.1875,72.5625,69.5625,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_12.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.49077340960502625,,36.09375,68.9375,72.11250305175781,71.4375,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_13.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.4335079789161682,,32.5625,62.90625,72.7874984741211,71.0,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_14.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.3870187997817993,,25.09375,57.90625,71.625,70.375,,,,,,,,,,,4
