epoch,loss,mae,val_loss,val_mae
0,0.02932833693921566,0.136077880859375,0.026648178696632385,0.1284397691488266
1,0.026274599134922028,0.12824681401252747,0.024934127926826477,0.12380611896514893
2,0.02462186850607395,0.12393954396247864,0.02428373135626316,0.12162432074546814
3,0.023632531985640526,0.12087090313434601,0.023983335122466087,0.12070319056510925
4,0.023043852299451828,0.11886689066886902,0.023988788947463036,0.12022536247968674
5,0.02235388569533825,0.11741455644369125,0.023309892043471336,0.11888233572244644
6,0.021862199530005455,0.11606837809085846,0.02389383129775524,0.12037260085344315
7,0.021542934700846672,0.11503239721059799,0.022960634902119637,0.11811361461877823
8,0.021321721374988556,0.1142977848649025,0.023022715002298355,0.1180434376001358
9,0.020795218646526337,0.11310648918151855,0.023252049461007118,0.11886197328567505
10,0.020246772095561028,0.11161036789417267,0.023397047072649002,0.11897303909063339
