epoch,loss,mae,val_loss,val_mae
1,0.02772214636206627,0.1328919231891632,0.025357214733958244,0.12800616025924683
2,0.02309991791844368,0.11975613236427307,0.02362173981964588,0.12117507308721542
3,0.021405912935733795,0.11481674760580063,0.02236691117286682,0.11737974733114243
4,0.020327847450971603,0.11201298981904984,0.02195020392537117,0.11717694997787476
5,0.019915707409381866,0.11039838939905167,0.023758115246891975,0.12228304892778397
6,0.018970467150211334,0.10834979265928268,0.022691799327731133,0.11755648255348206
7,0.018650414422154427,0.10693976283073425,0.020968850702047348,0.11363933235406876
8,0.0177031047642231,0.10392060875892639,0.027453681454062462,0.1311226189136505
9,0.017096394672989845,0.10244689881801605,0.022031599655747414,0.11544367671012878
10,0.016813509166240692,0.10154733806848526,0.02155282162129879,0.11504693329334259
