epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
1,0.6772224307060242,0.7409771680831909,0.6043712496757507,0.8375000953674316,0.6750673055648804,0.7498329877853394,0.785050094127655,0.5159072875976562,0.8152995109558105,0.8326249718666077
2,0.7121261954307556,0.7845092415809631,0.5610451102256775,0.8570092916488647,0.712227463722229,0.7315990328788757,0.7910417318344116,0.5363909602165222,0.848116397857666,0.7528799772262573
3,0.7262753248214722,0.803299605846405,0.541197657585144,0.8672398328781128,0.7242489457130432,0.7511298060417175,0.795960009098053,0.5132654309272766,0.8274825811386108,0.815960168838501
4,0.7380818128585815,0.8188672065734863,0.5220000743865967,0.8759095072746277,0.7340381145477295,0.7050732970237732,0.793114423751831,0.605887234210968,0.870633602142334,0.6815792322158813
5,0.7477961182594299,0.832051694393158,0.5069366097450256,0.8836265206336975,0.7414315938949585,0.7615042924880981,0.7909790277481079,0.5338341593742371,0.8078065514564514,0.8668493628501892
6,0.7607763409614563,0.8478739857673645,0.4851605296134949,0.8930307030677795,0.7521921396255493,0.739340603351593,0.7874330878257751,0.6033000946044922,0.838560163974762,0.7790515422821045
7,0.7759912014007568,0.8657624125480652,0.4573201537132263,0.903076708316803,0.7657831311225891,0.741266131401062,0.7806184887886047,0.8340243697166443,0.8291957974433899,0.7957163453102112
8,0.7961074113845825,0.8864113688468933,0.4225215017795563,0.915372371673584,0.7845404744148254,0.6778795123100281,0.772620439529419,0.9909475445747375,0.86489337682724,0.6418744921684265
9,0.8173433542251587,0.9066832661628723,0.3861771821975708,0.9277802109718323,0.8046571016311646,0.7459032535552979,0.7521777749061584,1.5432857275009155,0.791641116142273,0.8664578795433044
10,0.8439226746559143,0.9280685782432556,0.3397130072116852,0.9408307671546936,0.8318440914154053,0.6867214441299438,0.7561965584754944,1.7078983783721924,0.8465519547462463,0.6768817901611328
