epoch,loss,mae,val_loss,val_mae
0,0.03242488205432892,0.143210768699646,0.03239661082625389,0.1423371285200119
1,0.030321039259433746,0.13835188746452332,0.032536424696445465,0.14541611075401306
2,0.02959994226694107,0.13714317977428436,0.03440692275762558,0.15041571855545044
3,0.028413521125912666,0.13395355641841888,0.03103986755013466,0.14214907586574554
4,0.02808387391269207,0.13249211013317108,0.029609866440296173,0.1370444893836975
5,0.02777334861457348,0.1319694221019745,0.032294582575559616,0.14442789554595947
6,0.027398627251386642,0.13183966279029846,0.030766509473323822,0.14150476455688477
7,0.026818612590432167,0.13029350340366364,0.029456816613674164,0.13742098212242126
8,0.026707515120506287,0.129254549741745,0.029489809647202492,0.13648557662963867
9,0.026043284684419632,0.1276695430278778,0.030933048576116562,0.13785454630851746
10,0.025615207850933075,0.12656724452972412,0.029892515391111374,0.13718228042125702
