epoch,loss,mae,rmse,val_loss,val_mae,val_rmse
1,0.003128825221210718,0.06433425843715668,0.08649435639381409,0.003406126517802477,0.06789020448923111,0.08994384109973907
2,0.0029273168183863163,0.06204988807439804,0.08278612047433853,0.003287451807409525,0.06649695336818695,0.08798041939735413
3,0.002825685078278184,0.06077516824007034,0.08098798990249634,0.0032108151353895664,0.06553814560174942,0.08676090091466904
4,0.0027383104898035526,0.05971210077404976,0.07932423800230026,0.0031553779263049364,0.06486440449953079,0.08576648682355881
5,0.002696655225008726,0.05925322324037552,0.07857049256563187,0.0031192193273454905,0.06439684331417084,0.08522693067789078
6,0.002628675429150462,0.05829561501741409,0.07737910747528076,0.003084073541685939,0.06394173949956894,0.08466696739196777
7,0.002612598007544875,0.0582110695540905,0.07715582847595215,0.003064165823161602,0.06366333365440369,0.0844036191701889
8,0.0025991457514464855,0.057962048798799515,0.0768498033285141,0.0030432860367000103,0.06350927799940109,0.08405429869890213
9,0.002535118255764246,0.057173002511262894,0.07567289471626282,0.003038193332031369,0.0634084939956665,0.08399666845798492
10,0.0025257286615669727,0.05723104998469353,0.07549642026424408,0.0030036340467631817,0.06292621791362762,0.08341976255178452
11,0.0024936131667345762,0.056613463908433914,0.07500848919153214,0.003018536139279604,0.06319046020507812,0.0837152749300003
12,0.0024506165646016598,0.05600999668240547,0.07435838133096695,0.0029908386059105396,0.06291507184505463,0.0831615999341011
13,0.0024542072787880898,0.05615922808647156,0.07423477619886398,0.0030016102828085423,0.06308943033218384,0.08343734592199326
14,0.002411552472040057,0.05541287735104561,0.07354863733053207,0.00295453192666173,0.06239305064082146,0.08270271867513657
15,0.0023940245155245066,0.055287279188632965,0.07332815229892731,0.002938697347417474,0.06228417158126831,0.08233485370874405
