dataset,fp32_max_diff,fp32_mean_diff,fp16_max_diff,fp16_mean_diff
spaq,0.012537837028503418,0.00559389591217041,0.026994943618774414,0.017488747835159302
koniq,0.009608268737792969,0.006173178553581238,0.04190802574157715,0.011802464723587036
flive,0.018346309661865234,0.0060014426708221436,0.043833255767822266,0.014299154281616211
