epoch,reg_loss,rank_loss,total_loss,val_reg_loss,val_reg_loss_samples,quick_flive_val_srcc,quick_flive_pred_std,quick_flive_possible_mode_collapse
1,0.002371399197727442,0.5269454717636108,0.26584407687187195,0.0027912918012589216,1024,0.46556111866103994,0.07908729463815689,False
2,0.002752669621258974,0.49851667881011963,0.25201094150543213,0.0030846912413835526,1024,0.4837106119569377,0.08762633055448532,False
3,0.0029427751433104277,0.47813597321510315,0.24201080203056335,0.0033563256729394197,1024,0.490188939453544,0.09440246969461441,False
4,0.003242695704102516,0.45415353775024414,0.23031944036483765,0.0035672036465257406,1024,0.49027948644589076,0.10038436949253082,False
5,0.0033082696609199047,0.47976139187812805,0.2431890368461609,0.003570281434804201,1024,0.4938560032365352,0.10134577006101608,False
6,0.0035727103240787983,0.4768763780593872,0.24201102554798126,0.003644894575700164,1024,0.4980453941956941,0.10541799664497375,False
7,0.0036223193164914846,0.47194549441337585,0.23959513008594513,0.0036323722451925278,1024,0.5005423990594378,0.1066596657037735,False
8,0.0032102218829095364,0.4436240494251251,0.22502218186855316,0.003778641577810049,1024,0.505254150722409,0.10913829505443573,False
9,0.0038612885400652885,0.4553157091140747,0.2315191626548767,0.0038729533553123474,1024,0.5055068038766897,0.11192255467176437,False
10,0.0038208123296499252,0.4488993287086487,0.22827059030532837,0.003961898852139711,1024,0.5079639667226951,0.1135583445429802,False
11,0.004014886915683746,0.46867385506629944,0.23835167288780212,0.003893082495778799,1024,0.5075328123882411,0.11357118934392929,False
12,0.004105645697563887,0.4380156993865967,0.2231135070323944,0.004114579875022173,1024,0.5085240460267505,0.11679001152515411,False
