epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7441267967224121,0.732979953289032,0.5282490253448486,0.765177309513092,0.9231426119804382,0.7395796775817871,0.7511000633239746,0.5352363586425781,0.7861717939376831,0.8659112453460693
1,0.754478931427002,0.7583114504814148,0.5097090601921082,0.7759509682655334,0.9200782179832458,0.7506164312362671,0.7798178195953369,0.5272436738014221,0.8116058707237244,0.8413597941398621
2,0.7598457932472229,0.7697393894195557,0.5005242824554443,0.7818552851676941,0.9181362986564636,0.7613791823387146,0.786590039730072,0.4956124722957611,0.7719258069992065,0.9386768937110901
3,0.7656725645065308,0.7811890244483948,0.4907587766647339,0.7873067855834961,0.9182327389717102,0.7574263215065002,0.7936394214630127,0.5215899348258972,0.823584258556366,0.8344720602035522
4,0.7701196670532227,0.7901762127876282,0.48330843448638916,0.7924787998199463,0.9164009690284729,0.7668975591659546,0.7944974303245544,0.4925088882446289,0.7872299551963806,0.9170138239860535
5,0.773876965045929,0.7978070378303528,0.47621557116508484,0.796638011932373,0.9153955578804016,0.7677194476127625,0.8020361661911011,0.49865633249282837,0.8245132565498352,0.8515803217887878
6,0.7764454483985901,0.8044403195381165,0.4701675772666931,0.7998445630073547,0.9140734076499939,0.7719463109970093,0.8041536211967468,0.48268917202949524,0.8020141124725342,0.8980169892311096
7,0.780251681804657,0.8120207190513611,0.4627889096736908,0.8044412732124329,0.9125240445137024,0.7672889232635498,0.8026250004768372,0.4910237491130829,0.8224658966064453,0.8540799021720886
8,0.784855306148529,0.8185074329376221,0.45619824528694153,0.8095657229423523,0.9116081595420837,0.7573089003562927,0.793504536151886,0.5108438730239868,0.8263466358184814,0.8299728035926819
9,0.7893269062042236,0.8256630301475525,0.4489867091178894,0.8138267397880554,0.9121246337890625,0.7717114686965942,0.8014375567436218,0.48175305128097534,0.8009694218635559,0.899516761302948
10,0.7931869626045227,0.8326176404953003,0.44139158725738525,0.8183375597000122,0.9111674427986145,0.7529255151748657,0.79274982213974,0.5161705613136292,0.8311614990234375,0.8148642182350159
11,0.7974139451980591,0.8395134210586548,0.4339854419231415,0.8236838579177856,0.9095422625541687,0.7652146816253662,0.7983698844909668,0.494133323431015,0.8214438557624817,0.8519691228866577
12,0.8017387390136719,0.8469973206520081,0.4252810776233673,0.8280523419380188,0.909872829914093,0.760205090045929,0.7966496348381042,0.5061902403831482,0.8241974115371704,0.8385269045829773
