epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
1,0.7047337889671326,0.777736246585846,0.5655161738395691,0.7367226481437683,0.8032463192939758,0.5239114761352539
2,0.7275124788284302,0.8077460527420044,0.5337005257606506,0.703808069229126,0.8097403049468994,0.5664739608764648
3,0.7402080297470093,0.8250672817230225,0.5129429697990417,0.7279167175292969,0.808487594127655,0.5360254049301147
4,0.753637433052063,0.842212975025177,0.49014148116111755,0.7351571321487427,0.8038732409477234,0.526448667049408
5,0.7657116651535034,0.8586803078651428,0.46561846137046814,0.7423975467681885,0.7950791120529175,0.5484844446182251
6,0.7799532413482666,0.8745396733283997,0.44113579392433167,0.7308129072189331,0.7905571460723877,0.600643515586853
7,0.792780876159668,0.8894281983375549,0.41567450761795044,0.7207545638084412,0.7822401523590088,0.6241791248321533
8,0.8050214648246765,0.9023014307022095,0.39189425110816956,0.7168799638748169,0.7775269150733948,0.650026261806488
9,0.8165086507797241,0.9133387804031372,0.36935287714004517,0.7032992839813232,0.771716296672821,0.7149626612663269
10,0.8289057612419128,0.9232507944107056,0.3480980098247528,0.726859986782074,0.7676398158073425,0.6941581964492798
11,0.8392285704612732,0.9316245913505554,0.32864275574684143,0.7266252040863037,0.7585116028785706,0.7942512035369873
12,0.8488224148750305,0.9388397336006165,0.3111746907234192,0.7348049283027649,0.7599901556968689,0.7976791262626648
13,0.8591892719268799,0.9456051588058472,0.29384878277778625,0.7212241888046265,0.7598219513893127,0.816417396068573
14,0.8673887848854065,0.9516249299049377,0.27717435359954834,0.7162537574768066,0.7587221264839172,0.8571470975875854
15,0.8760334849357605,0.956676721572876,0.2628718912601471,0.703808069229126,0.7575345039367676,0.9411420822143555
16,0.8851772546768188,0.961664617061615,0.24722298979759216,0.71257483959198,0.7512140274047852,1.0112618207931519
17,0.8925744295120239,0.9657055735588074,0.2339528501033783,0.7047082185745239,0.7541576623916626,1.0591330528259277
18,0.8983082175254822,0.9686941504478455,0.22379663586616516,0.716958224773407,0.7487064599990845,1.0013816356658936
19,0.9045116901397705,0.9717524647712708,0.21214498579502106,0.6997768878936768,0.7486206293106079,1.1412532329559326
20,0.910490095615387,0.9746899604797363,0.2008776217699051,0.7141794562339783,0.7459967136383057,1.1200000047683716
