Name,Test SRCC,Test PLCC,Test MAE,Test RMSE,Val Loss,Best Epoch
dilation_paper_3_6_12_18,0.5334318928773825,0.5664357945987373,0.11573169380426407,0.14773286920563805,0.02703787386417389,4
agg_mean,0.5211736012889218,0.5633594659033991,0.11035709083080292,0.1436958267923631,0.027767768129706383,3
agg_lse_r2,0.4982399723812071,0.5504354485505499,0.13358208537101746,0.1644011873065028,0.030177224427461624,5
graph_blocks_2,0.49413197447958246,0.5245182993057396,0.12404456734657288,0.1557030103772053,0.03064514510333538,3
agg_lse_r8,0.48601578844880783,0.52478673298069,0.11909344047307968,0.15068322983288038,0.03013119101524353,4
raw_lse_then_sigmoid,0.4705524542744528,0.48952809026963745,0.12034274637699127,0.15393327775834145,0.026975564658641815,2
agg_lse_r4,0.46388781828005876,0.5024239212738859,0.1211332157254219,0.1525465764382045,0.027242766693234444,1
agg_max,0.40477099268263733,0.4353862729250703,0.14081048965454102,0.1738351916901968,0.03362927585840225,3
input_300,0.3952739851233144,0.4166880867452239,0.1289927065372467,0.16380681823008378,0.026466907933354378,2
