dataset,checkpoint,status,fp32_path,fp32_size_bytes,fp16_path,fp16_size_bytes,builtin_conversion_ok,requires_select_tf_ops,flex_ops,erfc_present,input_shape,output_shape,max_abs_diff_fp32,mean_abs_diff_fp32,max_abs_diff_fp16,mean_abs_diff_fp16
spaq,outputs/probe1024_topiq_lite_spaq_e15_frozen,OK,outputs/topiq_lite_replacement_export_feasibility_20260517/topiq_lite_spaq_probe1024_fp32.tflite,24921872,outputs/topiq_lite_replacement_export_feasibility_20260517/topiq_lite_spaq_probe1024_fp16.tflite,12571088,True,False,,False,"[1, 384, 384, 3]","[1, 1]",0.03784000873565674,0.021672993898391724,0.06648898124694824,0.03185346722602844
koniq,outputs/probe1024_topiq_lite_koniq_e15_frozen,OK,outputs/topiq_lite_replacement_export_feasibility_20260517/topiq_lite_koniq_probe1024_fp32.tflite,24921872,outputs/topiq_lite_replacement_export_feasibility_20260517/topiq_lite_koniq_probe1024_fp16.tflite,12571088,True,False,,False,"[1, 384, 384, 3]","[1, 1]",0.02224147319793701,0.008597224950790405,0.06007850170135498,0.024958699941635132
flive,outputs/probe1024_topiq_lite_flive_e15_unfrozen,OK,outputs/topiq_lite_replacement_export_feasibility_20260517/topiq_lite_flive_probe1024_fp32.tflite,24921872,outputs/topiq_lite_replacement_export_feasibility_20260517/topiq_lite_flive_probe1024_fp16.tflite,12571088,True,False,,False,"[1, 384, 384, 3]","[1, 1]",0.024014711380004883,0.011936575174331665,0.03619194030761719,0.013788044452667236
