Version,Dataset,max_diff,mean_diff
fp32,spaq,0.018924474716186523,0.007175654172897339
fp32,koniq,0.017338991165161133,0.009106472134590149
fp32,flive,0.010156631469726562,0.005129724740982056
fp16,spaq,0.06338059902191162,0.021735206246376038
fp16,koniq,0.03581047058105469,0.014735199511051178
fp16,flive,0.0195920467376709,0.009768456220626831
