epoch,phase,accuracy,auc,loss,val_accuracy,val_auc,val_loss
1,phase1_frozen_backbone,0.564453125,0.5462416410446167,2.9738426208496094,0.5830078125,0.5951550602912903,1.0979963541030884
2,phase1_frozen_backbone,0.609375,0.636214017868042,1.877781629562378,0.5380859375,0.5903212428092957,1.125484585762024
3,phase1_frozen_backbone,0.66015625,0.7251167893409729,1.247985601425171,0.5810546875,0.6055039167404175,0.9114698171615601
4,phase1_frozen_backbone,0.693359375,0.7341354489326477,1.1214438676834106,0.6279296875,0.6275201439857483,0.7995050549507141
5,phase1_frozen_backbone,0.7392578125,0.8135756850242615,0.8569080829620361,0.6201171875,0.622622013092041,0.8131135702133179
6,phase1_frozen_backbone,0.7705078125,0.8404130339622498,0.7425028681755066,0.607421875,0.6323769092559814,0.795728862285614
7,phase1_frozen_backbone,0.7744140625,0.8656251430511475,0.6734136343002319,0.603515625,0.6284075975418091,0.8245065212249756
8,phase1_frozen_backbone,0.8046875,0.8959660530090332,0.5881971716880798,0.6005859375,0.6360368132591248,0.8249697685241699
9,phase2_block5_unfrozen,0.80078125,0.8879402875900269,0.5956535339355469,0.6767578125,0.6705091595649719,0.7071476578712463
10,phase2_block5_unfrozen,0.87109375,0.9425914287567139,0.4289977550506592,0.642578125,0.6675854921340942,0.7606434226036072
11,phase2_block5_unfrozen,0.890625,0.9571831226348877,0.3743751645088196,0.654296875,0.665730357170105,0.7614812254905701
12,phase2_block5_unfrozen,0.9248046875,0.9790984392166138,0.27060937881469727,0.685546875,0.6631322503089905,0.770749568939209
