epoch,loss,mae,rmse,val_loss,val_mae,val_rmse
1,0.004093347117304802,0.07655982673168182,0.10273025184869766,0.002059543738141656,0.05038624629378319,0.06733334064483643
2,0.00208731135353446,0.05223159119486809,0.06875938177108765,0.0015499903820455074,0.04249675199389458,0.05792170763015747
3,0.0016286480240523815,0.045158468186855316,0.05967273190617561,0.001264248276129365,0.038481153547763824,0.051315274089574814
4,0.0013272201176732779,0.0402381457388401,0.05364857241511345,0.001318404683843255,0.039639294147491455,0.05233342573046684
5,0.0011731693521142006,0.038282282650470734,0.04973791167140007,0.001462610438466072,0.0421893410384655,0.0552949383854866
6,0.0010556982597336173,0.03606384992599487,0.04733899235725403,0.0012360434047877789,0.038013964891433716,0.05114250257611275
7,0.0009527565562166274,0.034079212695360184,0.04460376128554344,0.0013466253876686096,0.03876630961894989,0.05329606309533119
8,0.0007973451865836978,0.031279221177101135,0.040964022278785706,0.0012665796093642712,0.03849080950021744,0.0514996312558651
9,0.0008218790171667933,0.031409598886966705,0.04103190824389458,0.0012838538968935609,0.039165906608104706,0.05146080628037453
10,0.0006586054223589599,0.0283109899610281,0.03684142231941223,0.0013259173138067126,0.040946632623672485,0.052582450211048126
11,0.0006686371052637696,0.028825556859374046,0.03668146952986717,0.001364289433695376,0.0407247468829155,0.05347633734345436
