epoch,train_loss,train_huber_loss,train_plcc_loss,train_mae,train_rmse,val_loss,val_huber_loss,val_plcc_loss,val_mae,val_rmse,val_srcc,val_plcc,val_bias,val_pred_mean,val_pred_std,val_target_mean,val_target_std,val_std_ratio,mode_collapse,sample_count,batch_count,val_mae_100,val_rmse_100,val_bias_100
1,0.026557816192507744,0.0036519875284284353,0.22905831038951874,0.0698540136218071,0.0911141186952591,0.01879248721525073,0.0035022269003093243,0.15290260314941406,0.06751834601163864,0.09410390257835388,0.7108877254985271,0.8470973968505859,0.003026652615517378,0.6268378496170044,0.1599801778793335,0.6238111853599548,0.17574390769004822,0.9103028377033899,False,2048,256,6.751834601163864,9.410390257835388,0.3026652615517378
2,0.02485983818769455,0.0033830341417342424,0.214768186211586,0.0668477714061737,0.08590735495090485,0.018743526283651592,0.003494309727102518,0.15249216556549072,0.06762081384658813,0.09375440329313278,0.7122007559309773,0.8475078344345093,-0.0014139022678136826,0.6223973035812378,0.15823857486248016,0.6238111853599548,0.17574390769004822,0.9003929464317965,False,2048,256,6.7620813846588135,9.375440329313278,-0.14139022678136826
3,0.025322644039988518,0.0033424487337470055,0.21980179846286774,0.0661885067820549,0.08614516258239746,0.018567288341000677,0.0034585122484713793,0.15108776092529297,0.06703566759824753,0.09335599839687347,0.7125981700244702,0.848912239074707,0.004326022230088711,0.6281372308731079,0.15747979283332825,0.6238111853599548,0.17574390769004822,0.8960754025742299,False,2048,256,6.703566759824753,9.335599839687347,0.4326022230088711
4,0.024698009714484215,0.003428092459216714,0.2126992791891098,0.06712150573730469,0.08781187236309052,0.01845697220414877,0.0034380322322249413,0.15018939971923828,0.06675024330615997,0.09321552515029907,0.7136960830356088,0.8498106002807617,0.005024447105824947,0.6288356781005859,0.15846477448940277,0.6238111853599548,0.17574390769004822,0.9016800444023363,False,2048,256,6.675024330615997,9.321552515029907,0.5024447105824947
5,0.02374856360256672,0.0033203009516000748,0.20428280532360077,0.06561117619276047,0.08547111600637436,0.018348652543500064,0.0034159247297793627,0.14932727813720703,0.06644925475120544,0.09284434467554092,0.7149688614609483,0.850672721862793,0.005421049427241087,0.6292321681976318,0.15692833065986633,0.6238111853599548,0.17574390769004822,0.8929375289448662,False,2048,256,6.644925475120544,9.284434467554092,0.5421049427241087
6,0.024568019434809685,0.00327779701910913,0.21290214359760284,0.06519610434770584,0.08512411266565323,0.018265021685510877,0.0034058340825140476,0.14859187602996826,0.06627406179904938,0.0927397683262825,0.714007195630038,0.8514081239700317,0.005578656680881977,0.6293898224830627,0.15815594792366028,0.6238111853599548,0.17574390769004822,0.8999227910795802,False,2048,256,6.627406179904938,9.27397683262825,0.5578656680881977
7,0.021740803495049477,0.0031888920348137617,0.1855190098285675,0.06445273756980896,0.0830770805478096,0.018274895194917918,0.0034106173552572727,0.14864277839660645,0.06647875905036926,0.09260470420122147,0.7152940430842565,0.8513572216033936,0.0016626827418804169,0.6254738569259644,0.15818460285663605,0.6238111853599548,0.17574390769004822,0.9000858404469944,False,2048,256,6.647875905036926,9.260470420122147,0.1662682741880417
8,0.021973533555865288,0.0030726254917681217,0.18900923430919647,0.06281594932079315,0.08190812915563583,0.018159694969654083,0.0033837631344795227,0.1477593183517456,0.06623946130275726,0.09216021001338959,0.7168850254466977,0.8522406816482544,0.0025247856974601746,0.6263359785079956,0.15561431646347046,0.6238111853599548,0.17574390769004822,0.8854606598250937,False,2048,256,6.623946130275726,9.216021001338959,0.25247856974601746
9,0.022305482998490334,0.003223991487175226,0.19081491231918335,0.06464912742376328,0.08424916863441467,0.01809181096032262,0.00337686063721776,0.14714950323104858,0.06619150936603546,0.09194645285606384,0.717092456410025,0.8528504967689514,0.0008368536364287138,0.6246480345726013,0.15558628737926483,0.6238111853599548,0.17574390769004822,0.8853011715983095,False,2048,256,6.619150936603546,9.194645285606384,0.08368536364287138
10,0.020238583907485008,0.003106561955064535,0.1713201254606247,0.06380467861890793,0.08200099319219589,0.01805446827784181,0.0033683725632727146,0.14686095714569092,0.06607742607593536,0.0917753353714943,0.7179455578538171,0.8531390428543091,0.0002212234539911151,0.6240324378013611,0.15405002236366272,0.6238111853599548,0.17574390769004822,0.8765596736095908,False,2048,256,6.607742607593536,9.17753353714943,0.02212234539911151
