epoch,learning_rate,loss,mae,val_loss,val_mae
0,9.999999747378752e-05,0.030003495514392853,0.13715165853500366,0.026457862928509712,0.12923415005207062
1,9.548853995511308e-05,0.026382898911833763,0.12831054627895355,0.029636267572641373,0.1385887861251831
2,9.095326095120981e-05,0.025051230564713478,0.1247837170958519,0.025253787636756897,0.12714113295078278
3,8.639269799459726e-05,0.023904306814074516,0.12137427926063538,0.025151731446385384,0.1252073496580124
4,8.180521399481222e-05,0.02287260815501213,0.11917233467102051,0.025194384157657623,0.12549863755702972
5,7.718895358266309e-05,0.02159379981458187,0.11580657213926315,0.0232909694314003,0.1220422014594078
6,7.25417849025689e-05,0.020130055025219917,0.11212033033370972,0.024763159453868866,0.12672346830368042
7,6.786127778468654e-05,0.018560169264674187,0.10722025483846664,0.025509484112262726,0.12710723280906677
8,6.314458732958883e-05,0.01667998731136322,0.10165248811244965,0.02627604827284813,0.1271914541721344
9,5.838837751070969e-05,0.015339376404881477,0.09766244143247604,0.026161793619394302,0.12756690382957458
10,5.358867201721296e-05,0.013643581420183182,0.09196708351373672,0.026245135813951492,0.1274244487285614
11,4.874064325122163e-05,0.01209607906639576,0.08638773113489151,0.02521556243300438,0.12584838271141052
12,4.3838328565470874e-05,0.010402588173747063,0.08042708039283752,0.024609480053186417,0.12369345128536224
13,3.8874179153935984e-05,0.009280635043978691,0.07577474415302277,0.02592598833143711,0.12772873044013977
14,3.383834700798616e-05,0.008285568095743656,0.07131309062242508,0.025083106011152267,0.12344153970479965
15,2.8717458917526528e-05,0.007073429878801107,0.06612211465835571,0.0260295532643795,0.12488194555044174
16,2.349237911403179e-05,0.0063183545134961605,0.062474630773067474,0.02605852484703064,0.12574008107185364
17,1.813351991586387e-05,0.00573510117828846,0.059542153030633926,0.025277787819504738,0.12368185818195343
18,1.2589253856276628e-05,0.005127749405801296,0.05614854767918587,0.02630009688436985,0.1264680027961731
19,6.746414328517858e-06,0.004645922686904669,0.05360913649201393,0.0258683729916811,0.12530861794948578
