epoch,loss,mae,rmse,val_loss,val_mae,val_rmse
1,0.009497495368123055,0.13689149916172028,0.1756279319524765,0.005872670561075211,0.09783349186182022,0.12408183515071869
2,0.005943480413407087,0.09875591844320297,0.12582536041736603,0.003845699829980731,0.07360173016786575,0.09475705772638321
3,0.00490686297416687,0.0868353471159935,0.11154942959547043,0.003316191490739584,0.06783195585012436,0.08669599890708923
4,0.004234352149069309,0.07911970466375351,0.1018725335597992,0.0034525692462921143,0.06883809715509415,0.08869769424200058
5,0.0038767142686992884,0.07430611550807953,0.09657064825296402,0.003361630253493786,0.0674441009759903,0.0868445560336113
6,0.0033537191338837147,0.06818193942308426,0.08854059875011444,0.0036423259880393744,0.07259299606084824,0.09148630499839783
7,0.003160166786983609,0.06612734496593475,0.08529549092054367,0.00326793035492301,0.06699659675359726,0.08600015193223953
8,0.002864245790988207,0.06263497471809387,0.08005976676940918,0.0037597434129565954,0.07332447171211243,0.09342639148235321
9,0.0027960692532360554,0.061144981533288956,0.07899834960699081,0.0035594389773905277,0.07141145318746567,0.08924742043018341
10,0.0027779568918049335,0.06173238158226013,0.07809103280305862,0.0030373188201338053,0.06538289785385132,0.08158869296312332
11,0.002547809388488531,0.058729253709316254,0.07476025819778442,0.004807839635759592,0.0851278305053711,0.10745512694120407
12,0.0025333096273243427,0.057977836579084396,0.07496656477451324,0.0034537683241069317,0.06918986141681671,0.08849970251321793
13,0.0022511668503284454,0.053726907819509506,0.0699031725525856,0.003193165175616741,0.06748273968696594,0.08350759744644165
14,0.002274471800774336,0.05480891466140747,0.07014689594507217,0.003731953678652644,0.07252661883831024,0.0926634892821312
15,0.0023287953808903694,0.05510052666068077,0.07159412652254105,0.003240022575482726,0.0677659809589386,0.08421824872493744
