epoch,loss,mae,rmse,val_loss,val_mae,val_rmse
1,0.003560083219781518,0.07063935697078705,0.09118146449327469,0.0025967552792280912,0.05859217792749405,0.07654415816068649
2,0.0028675058856606483,0.06222616881132126,0.08042310923337936,0.002376124495640397,0.055232107639312744,0.07302428036928177
3,0.002591540338471532,0.05863140523433685,0.07597485929727554,0.0022385879419744015,0.05368667468428612,0.07032199949026108
4,0.002428840845823288,0.05647971108555794,0.07320500165224075,0.00219577644020319,0.05294546112418175,0.06990379095077515
5,0.0022990580182522535,0.05471574515104294,0.07112059742212296,0.0021388197783380747,0.05218755081295967,0.06873009353876114
6,0.002179264323785901,0.052896954119205475,0.06897938251495361,0.0020907046273350716,0.051369622349739075,0.06790091097354889
7,0.0021064095199108124,0.051980920135974884,0.06772653758525848,0.002051383489742875,0.05099295452237129,0.06712501496076584
8,0.002018101280555129,0.0507461354136467,0.06628038734197617,0.0020567686296999454,0.05107184126973152,0.06697405874729156
9,0.0019532872829586267,0.04979783669114113,0.06500972807407379,0.0020063116680830717,0.05033121258020401,0.06636235117912292
10,0.0018822025740519166,0.04883875697851181,0.06364738196134567,0.0020193380769342184,0.0505547821521759,0.06628567725419998
11,0.0018190743867307901,0.0478866770863533,0.06254244595766068,0.001977403648197651,0.05006522312760353,0.06551167368888855
12,0.001809104229323566,0.04783858731389046,0.06225317716598511,0.001996017061173916,0.049838487058877945,0.06620143353939056
13,0.0017518603708595037,0.04669272527098656,0.06139666959643364,0.0019422268960624933,0.049315568059682846,0.06500044465065002
14,0.0017137459944933653,0.046218596398830414,0.060648947954177856,0.0019884153734892607,0.05020546913146973,0.06561654061079025
15,0.0016567700076848269,0.045347459614276886,0.05954255908727646,0.0019711351487785578,0.049561046063899994,0.06570959091186523
16,0.001644603325985372,0.045092929154634476,0.05937083810567856,0.0019514086889103055,0.04910213127732277,0.06550314277410507
17,0.0016137005295604467,0.04492979869246483,0.058516524732112885,0.002096795476973057,0.052058834582567215,0.06717046350240707
18,0.0015774681232869625,0.0442463643848896,0.05781595781445503,0.0019208795856684446,0.048903677612543106,0.06463944166898727
19,0.0015481242444366217,0.04398803040385246,0.05734037235379219,0.0019511148566380143,0.04943617805838585,0.06492715328931808
20,0.0015334824565798044,0.04360628128051758,0.05705597996711731,0.0019139666110277176,0.04859428107738495,0.06458208709955215
21,0.0014976485399529338,0.042976509779691696,0.056335337460041046,0.0019143749959766865,0.04865727946162224,0.06456475704908371
22,0.0014679661253467202,0.0425809845328331,0.055705923587083817,0.0019134503090754151,0.04853605106472969,0.06460797786712646
23,0.0014298469759523869,0.04178788512945175,0.0549577996134758,0.001968798693269491,0.04919448867440224,0.0659431591629982
24,0.0014004638651385903,0.0414547398686409,0.05437663197517395,0.001909770886413753,0.048286937177181244,0.06462665647268295
25,0.0013525420799851418,0.04063620790839195,0.05334095284342766,0.0019096069736406207,0.04846930876374245,0.06436483561992645
26,0.0013714168453589082,0.04105323180556297,0.053720623254776,0.0019133694004267454,0.04867277294397354,0.06441474705934525
27,0.0013585574924945831,0.04070815443992615,0.05354445427656174,0.001905686454847455,0.048410166054964066,0.06472132354974747
28,0.0013126037083566189,0.04023180902004242,0.05243809148669243,0.0019011831609532237,0.048471588641405106,0.06433731317520142
29,0.0013064455706626177,0.039999086409807205,0.05241262540221214,0.0019147895509377122,0.04852995648980141,0.06461610645055771
30,0.0012488913489505649,0.03911135718226433,0.05118073523044586,0.001911794999614358,0.048567719757556915,0.064348503947258
