epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
1,0.7268945574760437,0.7118316292762756,0.5755161643028259,0.7530636787414551,0.9139277935028076,0.7460211515426636,0.770906388759613,0.5123255252838135,0.752845287322998,0.950676679611206
2,0.7498440742492676,0.759998083114624,0.5130646228790283,0.7718973755836487,0.9179262518882751,0.7549416422843933,0.7827022075653076,0.49760401248931885,0.7729445695877075,0.9221563339233398
3,0.7552610039710999,0.7712225317955017,0.5035743117332458,0.7773869633674622,0.9168701171875,0.75230872631073,0.7882729172706604,0.4988339841365814,0.7576890587806702,0.9519628882408142
4,0.7596220374107361,0.7783915400505066,0.49789896607398987,0.7817156314849854,0.9163487553596497,0.7587141990661621,0.7923377752304077,0.49047261476516724,0.7708025574684143,0.9345151782035828
5,0.7617632746696472,0.7840853333473206,0.4924775958061218,0.7837917804718018,0.916263222694397,0.7596573233604431,0.7909221053123474,0.4937434792518616,0.7690478563308716,0.9403870105743408
6,0.7647885084152222,0.7882538437843323,0.489104300737381,0.7867475152015686,0.9160619974136353,0.7590285539627075,0.7946333885192871,0.49032363295555115,0.7668756246566772,0.9440778493881226
7,0.7672145962715149,0.7932069897651672,0.48482123017311096,0.7894245386123657,0.915372371673584,0.7622509598731995,0.7961020469665527,0.48673686385154724,0.7753164768218994,0.9316630959510803
8,0.7679168581962585,0.7952203154563904,0.48289817571640015,0.7899704575538635,0.9156197905540466,0.7636656761169434,0.7946794033050537,0.487181693315506,0.778958261013031,0.9266301393508911
9,0.7710844874382019,0.7994983792304993,0.47888073325157166,0.7927840948104858,0.9161475896835327,0.7600502967834473,0.796196460723877,0.49209973216056824,0.7641069293022156,0.9526339173316956
10,0.7722828388214111,0.8024652004241943,0.47609180212020874,0.7938835620880127,0.9162296652793884,0.7649231553077698,0.796592116355896,0.4871595799922943,0.7788452506065369,0.9293703436851501
