epoch,train_loss,train_huber_loss,train_plcc_loss,train_rank_loss,train_false_positive_loss,sample_count,val_loss,val_huber_loss,val_plcc_loss,val_false_positive_loss,val_mae,val_rmse,val_srcc,val_plcc,val_bias,val_pred_mean,val_pred_std,val_target_mean,val_target_std,val_std_ratio,mode_collapse,val_mae_100,val_rmse_100,val_bias_100
1,0.016922710463404655,0.0026618458796292543,0.1426086723804474,0.0,0.0,2048,0.01474817986600101,0.0029378056060522795,0.1181037425994873,0.0,0.06153969466686249,0.08368483930826187,0.752078028289824,0.8818962574005127,0.005975330714136362,0.629786491394043,0.16512542963027954,0.6238111853599548,0.17574390769004822,0.9395798227128532,False,6.153969466686249,8.368483930826187,0.5975330714136362
2,0.015193370170891285,0.0023377705365419388,0.1285560429096222,0.0,0.0,2048,0.014807786140590907,0.0029442147351801395,0.11863571405410767,0.0,0.06145412474870682,0.08391902595758438,0.7527227805490021,0.8813642859458923,0.011473780497908592,0.635284960269928,0.15903019905090332,0.6238111853599548,0.17574390769004822,0.904897365383373,False,6.145412474870682,8.391902595758438,1.1473780497908592
3,0.01534116081893444,0.002214629901573062,0.13126519322395325,0.0,0.0,2048,0.014843320101499559,0.0029476694762706757,0.11895650625228882,0.0,0.06143082678318024,0.08400820940732956,0.752975554380596,0.8810434937477112,0.012019786983728409,0.6358309984207153,0.15617656707763672,0.6238111853599548,0.17574390769004822,0.8886599207357927,False,6.143082678318024,8.400820940732956,1.2019786983728409
4,0.014613062143325806,0.0021994367707520723,0.12413623929023743,0.0,0.0,2048,0.014816140290349722,0.0029373816214501858,0.11878758668899536,0.0,0.06124351918697357,0.08391275256872177,0.7543339427977713,0.8812124133110046,0.011788075789809227,0.6355992555618286,0.15417695045471191,0.6238111853599548,0.17574390769004822,0.8772819068449702,False,6.124351918697357,8.391275256872177,1.1788075789809227
5,0.014093825593590736,0.0022383099421858788,0.11855512857437134,0.0,0.0,2048,0.01469065435230732,0.0029012728482484818,0.11789381504058838,0.0,0.06080029904842377,0.08328136801719666,0.755380148530544,0.8821061849594116,0.009079371578991413,0.6328905820846558,0.1553558111190796,0.6238111853599548,0.17574390769004822,0.8839897391667982,False,6.080029904842377,8.328136801719666,0.9079371578991413
6,0.013748311437666416,0.002151325810700655,0.11596973240375519,0.0,0.0,2048,0.014854517951607705,0.002941349521279335,0.11913168430328369,0.0,0.0610969215631485,0.08411705493927002,0.7546992293099222,0.8808683156967163,0.011831259354948997,0.635642409324646,0.1509266197681427,0.6238111853599548,0.17574390769004822,0.8587872077723759,False,6.10969215631485,8.411705493927002,1.1831259354948997
7,0.013992173597216606,0.0021244145464152098,0.11867748200893402,0.0,0.0,2048,0.01495073400437832,0.002967899665236473,0.11982834339141846,0.0,0.06138493865728378,0.08467403054237366,0.753847685220346,0.8801716566085815,0.013027791865170002,0.6368390321731567,0.14824829995632172,0.6238111853599548,0.17574390769004822,0.8435473064464954,False,6.138493865728378,8.467403054237366,1.3027791865170002
8,0.012233220972120762,0.0020406555850058794,0.10192573070526123,0.0,0.0,2048,0.014909647498279811,0.0029486403800547123,0.11961007118225098,0.0,0.06122700124979019,0.08418893814086914,0.7541466268526581,0.880389928817749,0.01007917895913124,0.6338903307914734,0.1484365612268448,0.6238111853599548,0.17574390769004822,0.8446185314636101,False,6.122700124979019,8.418893814086914,1.007917895913124
9,0.010825217701494694,0.0019405301427468657,0.088846854865551,0.0,0.0,2048,0.014972095657140017,0.0029646982438862324,0.12007397413253784,0.0,0.06137361377477646,0.08444841206073761,0.7540142486203083,0.8799260258674622,0.010450225323438644,0.6342613697052002,0.14753945171833038,0.6238111853599548,0.17574390769004822,0.8395138907377615,False,6.137361377477646,8.444841206073761,1.0450225323438644
10,0.01881861686706543,0.002377592260017991,0.1644103229045868,0.0,0.0,2048,0.014716023532673718,0.002897656289860606,0.1181836724281311,0.0,0.06083371490240097,0.0830070897936821,0.7545113861750247,0.8818163275718689,0.004332983400672674,0.6281441450119019,0.15343420207500458,0.6238111853599548,0.17574390769004822,0.8730555960187805,False,6.083371490240097,8.30070897936821,0.4332983400672674
