epoch,loss,mae,val_loss,val_mae
0,0.02708323486149311,0.13095125555992126,0.023920515552163124,0.12403521686792374
1,0.023656440898776054,0.12142902612686157,0.02273085154592991,0.11956705152988434
2,0.02258550561964512,0.1189129576086998,0.02155742049217224,0.11654438823461533
3,0.02209777943789959,0.1165299192070961,0.021915819495916367,0.11723840236663818
4,0.02100083790719509,0.11434926092624664,0.024935675784945488,0.12450305372476578
5,0.020480604842305183,0.11228091269731522,0.02090161293745041,0.11402291804552078
6,0.019801901653409004,0.1108541414141655,0.020625025033950806,0.11352284997701645
7,0.01915089040994644,0.1085570678114891,0.020572634413838387,0.11341074109077454
8,0.01808798499405384,0.10515402257442474,0.020624496042728424,0.11384356766939163
9,0.018021009862422943,0.1053207591176033,0.020329773426055908,0.11302073299884796
