epoch,phase,accuracy,auc,loss,val_accuracy,val_auc,val_loss
1,phase1_frozen_backbone,0.564453125,0.5461510419845581,2.9036498069763184,0.5888671875,0.5950679779052734,1.0908203125
2,phase1_frozen_backbone,0.611328125,0.6338611245155334,1.8457123041152954,0.548828125,0.5916948318481445,1.0889427661895752
3,phase1_frozen_backbone,0.67578125,0.7225873470306396,1.223747968673706,0.599609375,0.6111679673194885,0.8744350075721741
4,phase1_frozen_backbone,0.6953125,0.7383484244346619,1.0869277715682983,0.634765625,0.63232421875,0.7904835939407349
5,phase1_frozen_backbone,0.7509765625,0.8168143033981323,0.8275235891342163,0.607421875,0.6285955905914307,0.7937807440757751
6,phase1_frozen_backbone,0.7734375,0.8412219882011414,0.7258377075195312,0.6025390625,0.6316936016082764,0.7886365652084351
7,phase1_frozen_backbone,0.7802734375,0.8668084144592285,0.649448812007904,0.6025390625,0.6278755068778992,0.8044153451919556
8,phase2_block5_unfrozen,0.7353515625,0.8081305027008057,0.8080288171768188,0.58984375,0.631973385810852,0.8238548040390015
9,phase2_block5_unfrozen,0.775390625,0.8547836542129517,0.6818581223487854,0.671875,0.6524783968925476,0.6837800145149231
10,phase2_block5_unfrozen,0.8271484375,0.9121526479721069,0.5087170004844666,0.669921875,0.6599540114402771,0.7171367406845093
11,phase2_block5_unfrozen,0.8447265625,0.9267628788948059,0.4725009500980377,0.64453125,0.6520380973815918,0.7240882515907288
12,phase2_block5_unfrozen,0.8798828125,0.9502243399620056,0.4000163674354553,0.66796875,0.6606624722480774,0.7154964804649353
