epoch,loss,mae,rmse,val_loss,val_mae,val_rmse
1,0.005506359040737152,0.09419887512922287,0.11926387995481491,0.0033809624146670103,0.0706523060798645,0.08646000176668167
2,0.0030605881474912167,0.06521535664796829,0.08588747680187225,0.0020274927373975515,0.051681339740753174,0.06567123532295227
3,0.0023817471228539944,0.056910980492830276,0.07279052585363388,0.0018161942716687918,0.04924798011779785,0.06169716641306877
4,0.0018451522337272763,0.048021137714385986,0.06436683982610703,0.0019128290005028248,0.04933151602745056,0.0634353905916214
5,0.0018352556508034468,0.048285357654094696,0.06290912628173828,0.0016738822450861335,0.046610042452812195,0.05885438993573189
6,0.0015354324132204056,0.044334687292575836,0.0575290247797966,0.0017328521935269237,0.04691767692565918,0.05984586104750633
7,0.0013921331847086549,0.04133008420467377,0.05381140485405922,0.0016266073798760772,0.04526228830218315,0.05841561779379845
8,0.0013426453806459904,0.041296765208244324,0.052895814180374146,0.0014838575152680278,0.04331189766526222,0.055399708449840546
9,0.0012613539583981037,0.03983964025974274,0.051262110471725464,0.0015441402792930603,0.0436411090195179,0.056325048208236694
10,0.0011449860176071525,0.037792619317770004,0.048456400632858276,0.0015044666361063719,0.04334966838359833,0.055887408554553986
11,0.00119255599565804,0.038958966732025146,0.049128975719213486,0.001456709811463952,0.04248648136854172,0.05468029901385307
12,0.0011016097851097584,0.0374673567712307,0.04744667187333107,0.0013901111669838428,0.04272777587175369,0.053407490253448486
13,0.0009613053407520056,0.03420524299144745,0.04432307928800583,0.0014264488127082586,0.04333137720823288,0.0538470521569252
14,0.0010553015163168311,0.03610391914844513,0.04671372473239899,0.001285704318434,0.03967522829771042,0.05105764418840408
15,0.000995538430288434,0.035204678773880005,0.044992540031671524,0.0014511379413306713,0.04231273755431175,0.05418520048260689
