epoch,loss,mae,val_loss,val_mae
0,0.028149500489234924,0.13456885516643524,0.03448839113116264,0.15188442170619965
1,0.023451942950487137,0.12136086076498032,0.025665948167443275,0.12716549634933472
2,0.021744271740317345,0.11585870385169983,0.025663411244750023,0.1262294352054596
3,0.020737864077091217,0.11312322318553925,0.025403685867786407,0.12591898441314697
4,0.020224543288350105,0.11152969300746918,0.020992515608668327,0.11362886428833008
5,0.019582917913794518,0.10926348716020584,0.022189876064658165,0.11678280681371689
6,0.01876750960946083,0.10719174146652222,0.021183334290981293,0.11362401396036148
7,0.018197542056441307,0.10594736784696579,0.020453326404094696,0.11112625896930695
8,0.017792455852031708,0.10475123673677444,0.022273844107985497,0.1160094141960144
9,0.01703551970422268,0.1023954451084137,0.019849520176649094,0.11031755805015564
