run_label,pipeline_name,pipeline_version,input_dir,output_dir,num_images,top1_image,top3_images,top5_images,top_k_signature,num_duplicate_groups,duplicate_member_count,penalized_images,top_k_penalized_images,pairwise_adjusted_images,top_k_pairwise_adjusted_images,max_diversity_penalty
acut_stage5_full_with_pairwise_fast,,,,outputs/acut_stage5_full_with_pairwise_fast,15,KakaoTalk_20260330_180646779_10.jpg,KakaoTalk_20260330_180646779_10.jpg | KakaoTalk_20260330_180646779_07.jpg | KakaoTalk_20260330_180646779_11.jpg,KakaoTalk_20260330_180646779_10.jpg | KakaoTalk_20260330_180646779_07.jpg | KakaoTalk_20260330_180646779_11.jpg | KakaoTalk_20260330_180646779_13.jpg | KakaoTalk_20260330_180646779_08.jpg,KakaoTalk_20260330_180646779_10.jpg > KakaoTalk_20260330_180646779_07.jpg > KakaoTalk_20260330_180646779_11.jpg > KakaoTalk_20260330_180646779_13.jpg > KakaoTalk_20260330_180646779_08.jpg,1,2,6,1,5,4,0.12
stage5_smoke_test,stage5_reference,2026-04-02,/home/omen_pc1/photo_score_project/test_samples,outputs/stage5_runs/stage5_smoke_test,15,KakaoTalk_20260330_180646779_10.jpg,KakaoTalk_20260330_180646779_10.jpg | KakaoTalk_20260330_180646779_07.jpg | KakaoTalk_20260330_180646779_11.jpg,KakaoTalk_20260330_180646779_10.jpg | KakaoTalk_20260330_180646779_07.jpg | KakaoTalk_20260330_180646779_11.jpg | KakaoTalk_20260330_180646779_08.jpg | KakaoTalk_20260330_180646779_13.jpg,KakaoTalk_20260330_180646779_10.jpg > KakaoTalk_20260330_180646779_07.jpg > KakaoTalk_20260330_180646779_11.jpg > KakaoTalk_20260330_180646779_08.jpg > KakaoTalk_20260330_180646779_13.jpg,1,2,6,1,10,5,0.12
