epoch,phase,train_loss,train_regression_loss,train_unified_loss,train_specific_loss,train_rank_loss,train_calib_loss,val_unified_loss,val_unified_mae,val_unified_mae_100,val_unified_rmse,val_unified_srcc,val_unified_plcc,val_unified_bias_100,val_unified_pred_mean,val_unified_pred_std,val_unified_target_mean,val_unified_target_std,val_unified_std_ratio,val_unified_mode_collapse,quick_flive_head_mae,quick_flive_head_mae_100,quick_flive_head_rmse,quick_flive_head_rmse_100,quick_flive_head_srcc,quick_flive_head_plcc,quick_flive_head_bias,quick_flive_head_bias_100,quick_flive_head_pred_mean,quick_flive_head_pred_std,quick_flive_head_target_mean,quick_flive_head_target_std,quick_flive_head_std_ratio,quick_flive_head_mode_collapse,quick_flive_head_sample_count,val_spaq_head_mae_100,val_spaq_head_srcc,val_spaq_head_bias_100,val_spaq_head_std_ratio,val_spaq_head_sample_count,val_koniq_head_mae_100,val_koniq_head_srcc,val_koniq_head_bias_100,val_koniq_head_std_ratio,val_koniq_head_sample_count,val_flive_head_mae_100,val_flive_head_srcc,val_flive_head_bias_100,val_flive_head_std_ratio,val_flive_head_sample_count,secondary_eligible
0,initial,,,,,,,0.0031712612000494265,0.06433826684951782,6.433826684951782,0.08716247975826263,0.7419722312951135,0.8684706091880798,0.2482208190485835,0.626293420791626,0.15182362496852875,0.6238111853599548,0.17574390769004822,0.8638912549747862,False,0.03861042484641075,3.861042484641075,0.05580965429544449,5.580965429544449,0.43665305816822825,0.5328853130340576,0.004148022271692753,0.4148022271692753,0.7235513925552368,0.04078452289104462,0.7194033861160278,0.06539670377969742,0.6236479904007988,False,1024,9.513361752033234,0.8690443184217035,4.760751128196716,0.8363729397238457,512,6.001325696706772,0.8414107681612524,0.28643133118748665,0.9292530611974597,512,3.861042484641075,0.43665305816822825,0.4148022271692753,0.6236479904007988,1024,True
1,train,0.03243240714073181,0.004556060768663883,0.0026451055891811848,0.0019109535496681929,0.5575268864631653,0.0,0.003193442495610637,0.06456077098846436,6.4560770988464355,0.08783378452062607,0.745266697458857,0.8700386881828308,1.4247581362724304,0.6380587816238403,0.15056054294109344,0.6238111853599548,0.17574390769004822,0.8567041948710418,False,0.04039044678211212,4.039044678211212,0.05676945298910141,5.676945298910141,0.46065845628849655,0.54551100730896,-0.00221247598528862,-0.221247598528862,0.7171908617019653,0.05029740184545517,0.7194033861160278,0.06539670377969742,0.7691121866767562,False,1024,8.697651326656342,0.8706005488464612,2.047300525009632,0.8317492685253364,512,6.003788113594055,0.8416788113491969,0.31073554418981075,0.9303710317106842,512,4.039044678211212,0.46065845628849655,-0.221247598528862,0.7691121866767562,1024,True
2,train,0.031632110476493835,0.004940795712172985,0.002865065122023225,0.0020757303573191166,0.5338258743286133,0.0,0.0031460372910474153,0.06410039216279984,6.4100392162799835,0.0869179368019104,0.7440828782952111,0.8704031705856323,0.7717511616647243,0.6315287351608276,0.1500573456287384,0.6238111853599548,0.17574390769004822,0.8538409530154976,False,0.04441642388701439,4.441642388701439,0.06095223128795624,6.095223128795624,0.4728285107713943,0.5449959635734558,-0.011235279031097889,-1.123527903109789,0.708168089389801,0.05977576598525047,0.7194033861160278,0.06539670377969742,0.9140486068933649,False,1024,8.575300872325897,0.8698252499766297,0.5915508605539799,0.8159913440846085,512,5.967019498348236,0.8452218451890461,0.203501689247787,0.9360740244597323,512,4.441642388701439,0.4728285107713943,-1.123527903109789,0.9140486068933649,1024,True
3,train,0.030139576643705368,0.004651194903999567,0.002674469957128167,0.0019767223857343197,0.5097675919532776,0.0,0.0031232378171144022,0.0638863742351532,6.38863742351532,0.08645103126764297,0.7446765407430838,0.8711458444595337,0.4741193260997534,0.6285523772239685,0.15096499025821686,0.6238111853599548,0.17574390769004822,0.859005539608617,False,0.046566762030124664,4.656676203012466,0.063666433095932,6.366643309593201,0.4776032651455547,0.5458322167396545,-0.0083230622112751,-0.8323062211275101,0.7110803127288818,0.06702597439289093,0.7194033861160278,0.06539670377969742,1.024913650368099,False,1024,8.564624190330505,0.8704069811761408,1.2343119829893112,0.8359987912762178,512,5.920961499214172,0.8439950871564285,0.45958440750837326,0.9254625386138676,512,4.656676203012466,0.4776032651455547,-0.8323062211275101,1.024913650368099,1024,False
4,train,0.029575157910585403,0.004553019069135189,0.0025992963928729296,0.001953721512109041,0.500442624092102,0.0,0.003122179771047176,0.0638577863574028,6.38577863574028,0.08638325333595276,0.7449048617615011,0.8712156414985657,0.3711157478392124,0.627522349357605,0.15080873668193817,0.6238111853599548,0.17574390769004822,0.8581164414980057,False,0.04891562834382057,4.891562834382057,0.06684219837188721,6.684219837188721,0.4790938230852017,0.5467066168785095,-0.008586196228861809,-0.8586196228861809,0.7108172178268433,0.07311176508665085,0.7194033861160278,0.06539670377969742,1.1179732442317467,False,1024,8.553579449653625,0.8712177301989894,1.1517351493239403,0.8344958676480484,512,5.892244726419449,0.8459348239756584,0.18215825548395514,0.9389480462705107,512,4.891562834382057,0.4790938230852017,-0.8586196228861809,1.1179732442317467,1024,False
5,train,0.02950013428926468,0.00463581969961524,0.0024585819337517023,0.0021772373002022505,0.4972865879535675,0.0,0.0031270500508069655,0.06389041244983673,6.389041244983673,0.08654887974262238,0.7452236912972,0.8711029291152954,0.5812367424368858,0.629623532295227,0.1502862572669983,0.6238111853599548,0.17574390769004822,0.8551434825954339,False,0.051047347486019135,5.1047347486019135,0.06956253200769424,6.956253200769424,0.47915044301194476,0.5456472635269165,-0.01140607800334692,-1.140607800334692,0.7079973220825195,0.07698041945695877,0.7194033861160278,0.06539670377969742,1.1771299623339357,False,1024,8.546803891658783,0.8702479695818379,0.5297894589602947,0.8297758040304278,512,5.86370974779129,0.8473983773329162,0.2323520602658391,0.9387338913982961,512,5.1047347486019135,0.47915044301194476,-1.140607800334692,1.1771299623339357,1024,False
6,train,0.02950950711965561,0.0047135804779827595,0.002536616986617446,0.0021769630257040262,0.49591827392578125,0.0,0.003125830110630394,0.06379158049821854,6.379158049821854,0.08665292710065842,0.7441903091818035,0.8714288473129272,0.855054147541523,0.6323617696762085,0.15112486481666565,0.6238111853599548,0.17574390769004822,0.8599152414614446,False,0.0530196912586689,5.30196912586689,0.07233620434999466,7.233620434999466,0.48254806881478673,0.5478314161300659,-0.01229359395802021,-1.229359395802021,0.7071097493171692,0.0815231204032898,0.7194033861160278,0.06539670377969742,1.2465937224897086,False,1024,8.559072017669678,0.870436843347913,1.053931936621666,0.8426884664440857,512,5.818527936935425,0.8484661244216515,0.6420654244720936,0.9269392371926573,512,5.30196912586689,0.48254806881478673,-1.229359395802021,1.2465937224897086,1024,False
7,train,0.02869349531829357,0.004459378309547901,0.002324325032532215,0.002135053975507617,0.4846824109554291,0.0,0.0031135315817189856,0.06359001249074936,6.359001249074936,0.08650969713926315,0.7460805090881267,0.8720168471336365,0.8709252811968327,0.6325204372406006,0.15038543939590454,0.6238111853599548,0.17574390769004822,0.8557078385962187,False,0.0532769039273262,5.32769039273262,0.07254410535097122,7.254410535097122,0.48350311495149423,0.550701916217804,-0.009233349934220314,-0.9233349934220314,0.7101700305938721,0.0828934907913208,0.7194033861160278,0.06539670377969742,1.267548454285479,False,1024,8.619388937950134,0.8709567491229311,1.4246816746890545,0.8316799155214362,512,5.875793099403381,0.8482972786710066,1.7042838037014008,0.9289868599756389,512,5.32769039273262,0.48350311495149423,-0.9233349934220314,1.267548454285479,1024,False
8,train,0.028919817879796028,0.004540789872407913,0.0024973649997264147,0.0020434290636330843,0.4875803589820862,0.0,0.0031139479357511187,0.06373846530914307,6.373846530914307,0.08620523661375046,0.7458826767309125,0.87144935131073,-0.05478409002535045,0.6232633590698242,0.1523587703704834,0.6238111853599548,0.17574390769004822,0.8669362845805832,False,0.054374925792217255,5.4374925792217255,0.0741349384188652,7.41349384188652,0.48915001969511634,0.5538812875747681,-0.013722045347094536,-1.3722045347094536,0.705681324005127,0.08462656289339066,0.7194033861160278,0.06539670377969742,1.2940493633818773,False,1024,8.56722667813301,0.8707860698237894,0.27195815928280354,0.8177458787596655,512,5.923855304718018,0.8482859239395626,-0.6197685841470957,0.9377710339305823,512,5.4374925792217255,0.48915001969511634,-1.3722045347094536,1.2940493633818773,1024,False
9,train,0.028324127197265625,0.004762392956763506,0.002538957167416811,0.0022234362550079823,0.4712350070476532,0.0,0.0031164698512644593,0.06361288577318192,6.3612885773181915,0.08663588017225266,0.7468469933395309,0.8717284798622131,0.9422056376934052,0.6332332491874695,0.15193049609661102,0.6238111853599548,0.17574390769004822,0.8644993621318819,False,0.05559413880109787,5.559413880109787,0.07569018006324768,7.569018006324768,0.4882249570846147,0.5548622012138367,-0.011422284878790379,-1.1422284878790379,0.7079811096191406,0.08765240758657455,0.7194033861160278,0.06539670377969742,1.3403184338135783,False,1024,8.597750216722488,0.8721641107026125,1.8444828689098358,0.8416139765017161,512,5.829459801316261,0.8490122244189714,0.03129127435386181,0.9317931655681125,512,5.559413880109787,0.4882249570846147,-1.1422284878790379,1.3403184338135783,1024,False
