epoch,loss,mae,rmse,val_loss,val_mae,val_rmse
1,0.0044365087524056435,0.07934628427028656,0.10996430367231369,0.00334822665899992,0.06613794714212418,0.0903906375169754
2,0.003849341068416834,0.07297597825527191,0.09897878021001816,0.0031575842294842005,0.06409220397472382,0.08669252693653107
3,0.0037145246751606464,0.07120528072118759,0.09647683054208755,0.0030468846671283245,0.06281376630067825,0.08492156118154526
4,0.0036121951416134834,0.07024222612380981,0.09456492960453033,0.0030145079363137484,0.06255567073822021,0.0841512605547905
5,0.0034533804282546043,0.0683388039469719,0.09222149103879929,0.002988269319757819,0.06213850528001785,0.08371617645025253
6,0.003443679306656122,0.06817545741796494,0.09186942875385284,0.002979906043037772,0.06195547804236412,0.08387231826782227
7,0.003361869603395462,0.06725210696458817,0.09065813571214676,0.0029584518633782864,0.06164884939789772,0.0835353210568428
8,0.0033154592383652925,0.06657063961029053,0.0899123027920723,0.0028929004911333323,0.06091597303748131,0.08227922767400742
9,0.003269301727414131,0.06593278050422668,0.089132159948349,0.0028944991063326597,0.06097867712378502,0.08221609145402908
10,0.003257876494899392,0.06582825630903244,0.08893026411533356,0.002885136054828763,0.060421910136938095,0.08247698843479156
11,0.0031875241547822952,0.06504082679748535,0.08786659687757492,0.0028382090386003256,0.060151565819978714,0.08139298856258392
12,0.0032008758280426264,0.06513625383377075,0.08801126480102539,0.002780756214633584,0.0594870001077652,0.0803493857383728
