dataset,baseline,srcc,plcc,mae,rmse,max_ae,bias,interpretation
flive,flive_standalone,0.6603,0.7732,3.8017,5.0503,31.0912,0.95,Best on home dataset.
flive,koniq_standalone,0.4863,0.6024,8.9485,11.3053,52.6934,-7.56,Weakest on FLIVE.
flive,production_technical_score,0.5744,0.7021,5.6107,7.1966,33.5583,-3.91,Balanced performance; baseline for future improvement.
koniq10k,koniq_standalone,0.9369,0.9522,5.1802,6.8630,23.9526,-3.51,Strongest rank correlation on KonIQ.
koniq10k,flive_standalone,0.7206,0.7631,9.6415,11.9886,37.0794,9.23,Weakest on KonIQ.
koniq10k,production_technical_score,0.9345,0.9476,3.2562,4.0592,15.1193,1.95,Best error metrics and well calibrated.
spaq,koniq_standalone,0.8555,0.8451,9.5807,11.8064,42.4665,-0.32,Strongest standalone on SPAQ.
spaq,flive_standalone,0.8267,0.6815,20.8763,24.9845,53.7123,18.42,Massive positive bias.
spaq,production_technical_score,0.8730,0.8478,11.8859,14.4976,43.8980,7.71,Best overall rank correlation; successfully smooths FLIVE bias.
