epoch,loss,mae,val_loss,val_mae
0,0.02928250841796398,0.13574296236038208,0.02670830488204956,0.1298050731420517
1,0.02621670998632908,0.12787044048309326,0.024578621610999107,0.1245182603597641
2,0.024457423016428947,0.12322694063186646,0.0237552672624588,0.12172944843769073
3,0.023504089564085007,0.1205083504319191,0.023146621882915497,0.11989333480596542
4,0.022797930985689163,0.11838623881340027,0.02297658659517765,0.11885152757167816
5,0.02211776375770569,0.11666319519281387,0.02269456721842289,0.11835247278213501
6,0.021671686321496964,0.11558980494737625,0.022723618894815445,0.11781319230794907
7,0.021534869447350502,0.11482376605272293,0.022465091198682785,0.11791390925645828
8,0.020951038226485252,0.1133272722363472,0.022310974076390266,0.1170002892613411
9,0.020756134763360023,0.1130765825510025,0.022595267742872238,0.11797074228525162
10,0.020067483186721802,0.1112036481499672,0.02254837565124035,0.11733783036470413
11,0.0196865014731884,0.10979553312063217,0.02255450375378132,0.11750151962041855
