epoch,reg_loss,rank_loss,total_loss,val_reg_loss,val_reg_loss_samples,quick_flive_val_srcc,quick_flive_pred_std,quick_flive_possible_mode_collapse
1,0.0025122100487351418,0.4000454843044281,0.08252128958702087,0.002921409672126174,1024,0.47210402734067664,0.08487214893102646,False
2,0.003045327728614211,0.38107916712760925,0.07926114648580551,0.003328079590573907,1024,0.48811180128388526,0.094870924949646,False
3,0.0034080108162015676,0.33139586448669434,0.06968715786933899,0.003676695516332984,1024,0.4943354709069451,0.10422071814537048,False
4,0.003726197872310877,0.3005162179470062,0.06382948160171509,0.004031123127788305,1024,0.49578573152850297,0.11335234344005585,False
5,0.004048206843435764,0.30541157722473145,0.0651305541396141,0.004223528318107128,1024,0.4982652461376153,0.11822529137134552,False
6,0.004401189740747213,0.31505250930786133,0.06741170585155487,0.004251476377248764,1024,0.5018516102820669,0.12117517739534378,False
7,0.004617717582732439,0.29568541049957275,0.06375475227832794,0.004404489416629076,1024,0.5015877798440741,0.12509173154830933,False
8,0.004094642121344805,0.2953704297542572,0.0631687194108963,0.004529642406851053,1024,0.5030719480902653,0.12886692583560944,False
9,0.004642868880182505,0.28227129578590393,0.061097152531147,0.004600108601152897,1024,0.5033074574422429,0.1306973546743393,False
10,0.004703224636614323,0.2702239155769348,0.05874801054596901,0.004802692215889692,1024,0.5032364235390887,0.13419575989246368,False
