epoch,phase,accuracy,auc,loss,val_accuracy,val_auc,val_loss
1,phase1_frozen_backbone,0.571044921875,0.5729156732559204,2.1561760902404785,0.59619140625,0.6507396697998047,0.7654204964637756
2,phase1_frozen_backbone,0.61474609375,0.6494642496109009,1.0977833271026611,0.641845703125,0.6743156909942627,0.6442926526069641
3,phase1_frozen_backbone,0.65966796875,0.712088942527771,0.9232597947120667,0.626220703125,0.6771422028541565,0.657392144203186
4,phase1_frozen_backbone,0.68115234375,0.7489858269691467,0.8574560284614563,0.66943359375,0.6946806311607361,0.6130424737930298
5,phase1_frozen_backbone,0.70947265625,0.7856016755104065,0.8014296293258667,0.666259765625,0.6974012851715088,0.6244663000106812
6,phase1_frozen_backbone,0.73486328125,0.8226580023765564,0.7339177131652832,0.6904296875,0.6983328461647034,0.6041268110275269
7,phase1_frozen_backbone,0.757080078125,0.8440121412277222,0.694641649723053,0.689453125,0.7111088633537292,0.5994730591773987
8,phase1_frozen_backbone,0.783203125,0.8623857498168945,0.6617473363876343,0.6884765625,0.7010573744773865,0.6182813048362732
9,phase1_frozen_backbone,0.807861328125,0.8971124291419983,0.5824929475784302,0.722900390625,0.7147979736328125,0.599484384059906
10,phase1_frozen_backbone,0.81494140625,0.9028690457344055,0.5658189654350281,0.697021484375,0.7130444645881653,0.6203601360321045
11,phase1_frozen_backbone,0.83056640625,0.919692873954773,0.5198764204978943,0.701416015625,0.714965283870697,0.6195034980773926
12,phase1_frozen_backbone,0.850830078125,0.9349302053451538,0.471534788608551,0.687255859375,0.7090807557106018,0.6401847004890442
13,phase1_frozen_backbone,0.863037109375,0.9424800276756287,0.4477982521057129,0.710693359375,0.7132441997528076,0.6471555829048157
14,phase1_frozen_backbone,0.880859375,0.9529344439506531,0.4119871258735657,0.708984375,0.7110317349433899,0.6586239337921143
15,phase2_block5_unfrozen,0.826171875,0.9094762206077576,0.546707808971405,0.71728515625,0.7158817052841187,0.6204888224601746
16,phase2_block5_unfrozen,0.870849609375,0.9474915266036987,0.42476001381874084,0.706298828125,0.7124515771865845,0.6902597546577454
17,phase2_block5_unfrozen,0.898193359375,0.963282585144043,0.35968056321144104,0.672119140625,0.7104157209396362,0.702460765838623
18,phase2_block5_unfrozen,0.9150390625,0.9756685495376587,0.30071383714675903,0.67626953125,0.7142672538757324,0.747068464756012
