model,n,mean,median,std,min,max,count_gt_55,count_gt_65
koniq_mobile_score,44,38.424289985136554,35.9692497253418,12.056480818211076,15.44578456878662,67.62466430664062,2,1
flive_image_mobile_score,44,57.50019043142145,66.95867156982422,18.479063237120094,16.697649002075195,73.21256256103516,32,24
existing_combined_score,44,47.962240208279006,51.36415672302246,11.731570184602523,19.781046867370605,66.33012580871582,13,1
mixed112_score,44,65.35092307762666,68.41827630996704,11.177042554656335,33.08739364147186,80.14389276504517,40,28
ranking_lam01_score,44,58.11564515937459,62.29081749916077,14.133424394442793,21.06354534626007,78.09960842132568,27,17
techiqa_stage4_score,44,62.013456564057954,64.44105207920074,11.090289454253094,29.842886328697205,77.02546119689941,34,21
distortionguard_b2_score,44,63.6790858409091,67.45194000000001,9.819565001872345,37.67874,74.792465,36,28
distortionguard_b3_score,44,64.23478986363637,67.6352875,9.844705311743555,37.488,75.29182,36,29
