epoch,loss,mae,rmse,val_loss,val_mae,val_rmse
1,0.0017156036337837577,0.0458989143371582,0.0618690624833107,0.0012009756173938513,0.03724910318851471,0.051491979509592056
2,0.001313829212449491,0.03957488015294075,0.053702570497989655,0.0011281721526756883,0.03591332957148552,0.049792200326919556
3,0.0012437932891771197,0.03850659728050232,0.05209947004914284,0.0011016977950930595,0.035238951444625854,0.04931851848959923
4,0.0012045090552419424,0.03780825436115265,0.05127352848649025,0.001084670191630721,0.035010769963264465,0.04876011610031128
5,0.001168769784271717,0.03715013712644577,0.05047401785850525,0.0010756993433460593,0.03480512276291847,0.048597969114780426
6,0.0011348214466124773,0.03647548705339432,0.049665626138448715,0.00106686947401613,0.03460085764527321,0.04836460202932358
7,0.0011121054412797093,0.03607403486967087,0.049137189984321594,0.0010645287111401558,0.034412797540426254,0.04831518977880478
8,0.001102340524084866,0.0358295664191246,0.04899350181221962,0.0010569501901045442,0.034430619329214096,0.04797699674963951
9,0.0010832175612449646,0.0354866161942482,0.04852725937962532,0.001052134670317173,0.034334003925323486,0.047897327691316605
10,0.0010693223448470235,0.035242099314928055,0.04819061979651451,0.0010471406858414412,0.034066151827573776,0.04783381521701813
11,0.0010643888963386416,0.03509443625807762,0.0480448342859745,0.0010436128359287977,0.034068237990140915,0.047729142010211945
12,0.0010420685866847634,0.034788623452186584,0.04750169813632965,0.0010459482436999679,0.03406082093715668,0.04776792973279953
13,0.0010363400215283036,0.034635283052921295,0.04735678806900978,0.001037037349306047,0.03400764986872673,0.04747973755002022
14,0.001035219756886363,0.034602779895067215,0.04730043187737465,0.001036592642776668,0.03408149257302284,0.04739486426115036
15,0.001017832662910223,0.034278299659490585,0.046938054263591766,0.0010370012605562806,0.033958546817302704,0.04749077185988426
16,0.0010116634657606483,0.03422755375504494,0.04671754688024521,0.0010436278535053134,0.03435703366994858,0.04750759154558182
17,0.0010050704004243016,0.034096989780664444,0.04658600687980652,0.0010336091509088874,0.03388729318976402,0.047428492456674576
18,0.0009924526093527675,0.03389236330986023,0.04624844714999199,0.0010347160277888179,0.03408735617995262,0.047342449426651
19,0.000988838612101972,0.033790841698646545,0.04612226039171219,0.0010325366165488958,0.033977922052145004,0.04740376025438309
20,0.0009896716801449656,0.03376469761133194,0.04620687663555145,0.001031090971082449,0.034015774726867676,0.04729944095015526
