epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
1,0.5576171875,0.5398688912391663,0.7252087593078613,0.462890625,0.6364220380783081,0.7119545936584473
2,0.0,0.0,0.0,0.462890625,0.6364220380783081,0.7119545936584473
3,0.642578125,0.6972054243087769,0.6347002387046814,0.6845703125,0.6670924425125122,0.6119479537010193
4,0.0,0.0,0.0,0.6845703125,0.6670924425125122,0.6119479537010193
5,0.728515625,0.8073539733886719,0.5541529059410095,0.6181640625,0.6334822773933411,0.6706987023353577
6,0.0,0.0,0.0,0.6181640625,0.6334822773933411,0.6706987023353577
7,0.775390625,0.8572807312011719,0.4880813658237457,0.63671875,0.672261118888855,0.6497847437858582
8,0.0,0.0,0.0,0.63671875,0.672261118888855,0.6497847437858582
9,0.8115234375,0.904880166053772,0.41436025500297546,0.7041015625,0.6565279960632324,0.6630388498306274
10,0.0,0.0,0.0,0.7041015625,0.6565279960632324,0.6630388498306274
