epoch,loss,mae,rmse,val_loss,val_mae,val_rmse
1,0.0077230436727404594,0.11870738118886948,0.1509069800376892,0.0046390630304813385,0.08400307595729828,0.1112406998872757
2,0.005099457688629627,0.08928017318248749,0.11481592059135437,0.0036864886060357094,0.07124291360378265,0.09321848303079605
3,0.0040534138679504395,0.07690200954675674,0.09923708438873291,0.003901308635249734,0.07530693709850311,0.09506198018789291
4,0.003608770901337266,0.07139468938112259,0.0928383395075798,0.003323181765154004,0.06652484834194183,0.09056834876537323
5,0.0029190024361014366,0.0634482353925705,0.08125519007444382,0.003218055935576558,0.06633570045232773,0.08725836873054504
6,0.0025656032375991344,0.05883750319480896,0.07520455121994019,0.0035132470075041056,0.0694543793797493,0.09186110645532608
7,0.002623602282255888,0.05943907052278519,0.07654108107089996,0.0034829590003937483,0.06775490194559097,0.09180513024330139
8,0.002077806042507291,0.05213479697704315,0.06665977090597153,0.003475871402770281,0.06890410929918289,0.09153319150209427
9,0.0020389778073877096,0.05169684439897537,0.06566402316093445,0.0034131151624023914,0.0685281753540039,0.09023761749267578
10,0.001861831289716065,0.048222023993730545,0.06307113915681839,0.003237722208723426,0.06492926180362701,0.0873173177242279
