epoch,phase,train_loss,train_mos_loss,train_distill_loss,train_rank_loss,val_unified_loss,val_unified_mae_100,val_unified_rmse_100,val_unified_srcc,val_unified_plcc,val_unified_bias_100,val_unified_pred_mean,val_unified_pred_std,val_unified_target_mean,val_unified_target_std,val_unified_std_ratio,val_unified_mode_collapse,quick_flive_unified_mae_100,quick_flive_unified_rmse_100,quick_flive_unified_srcc,quick_flive_unified_plcc,quick_flive_unified_bias_100,quick_flive_unified_pred_mean,quick_flive_unified_pred_std,quick_flive_unified_target_mean,quick_flive_unified_target_std,quick_flive_unified_std_ratio,quick_flive_unified_mode_collapse,quick_flive_teacher_mae_100,quick_flive_teacher_srcc,quick_flive_teacher_bias_100,val_spaq_teacher_mae_100,val_spaq_teacher_srcc,val_spaq_teacher_bias_100,val_spaq_teacher_std_ratio,val_spaq_teacher_sample_count,val_koniq_teacher_mae_100,val_koniq_teacher_srcc,val_koniq_teacher_bias_100,val_koniq_teacher_std_ratio,val_koniq_teacher_sample_count,val_flive_teacher_mae_100,val_flive_teacher_srcc,val_flive_teacher_bias_100,val_flive_teacher_std_ratio,val_flive_teacher_sample_count,secondary_ok
0,initial,,,,,0.00314593042002863,6.409858912229538,8.691637963056564,0.7441055676755858,0.8704085350036621,0.7718163076788187,0.6315293312072754,0.15005727112293243,0.6238111853599548,0.17574390769004822,0.8538405290701845,False,4.756700620055199,6.5109871327877045,0.42130857397234567,0.5651266574859619,-1.3011520728468895,0.7063918113708496,0.0710032507777214,0.7194033861160278,0.06539670377969742,1.0857313392569574,False,4.441610723733902,0.4728978278556612,-1.1234808713197708,8.575082570314407,0.8698826944238265,0.5916338413953781,0.8159899680329438,512,5.966947600245476,0.8452521095716742,0.20344399381428957,0.9360744908248722,512,4.441610723733902,0.4728978278556612,-1.1234808713197708,0.9140479802839042,1024,True
1,train,0.0061309728771448135,0.002606803085654974,0.00159774802159518,0.5450586676597595,0.003139462344111353,6.417764723300934,8.66045206785202,0.7466722808951108,0.8701948523521423,0.1494248048402369,0.6253054141998291,0.15247194468975067,0.6238111853599548,0.17574390769004822,0.8675802575111663,False,4.972895979881287,6.797359883785248,0.4372453798905658,0.5700823068618774,-1.8916577100753784,0.7004867792129517,0.07437267154455185,0.7194033861160278,0.06539670377969742,1.1372541312646562,False,4.448181763291359,0.4727847055825763,-1.1284580454230309,8.568280935287476,0.8698900705590699,0.6164789665490389,0.8181948156152692,512,5.961572378873825,0.8450200528357469,0.20847858395427465,0.9374619271158963,512,4.448181763291359,0.4727847055825763,-1.1284580454230309,0.915583572213949,1024,True
2,train,0.006227452307939529,0.002697491552680731,0.0016787841450423002,0.5381138324737549,0.0031697549279477094,6.439873576164246,8.730993419885635,0.7472678466458256,0.8694997429847717,0.9128529578447342,0.6329396963119507,0.15069997310638428,0.6238111853599548,0.17574390769004822,0.8574975661299575,False,4.848655313253403,6.622274219989777,0.44946618401759525,0.5751118063926697,-1.3809225521981716,0.7055941224098206,0.07411480695009232,0.7194033861160278,0.06539670377969742,1.133311048822333,False,4.452304542064667,0.47262604159216076,-1.135999709367752,8.572199940681458,0.8696999897890458,0.6413074675947428,0.8184633520976325,512,5.959158390760422,0.8451287274504722,0.21558539010584354,0.9373766755683336,512,4.452304542064667,0.47262604159216076,-1.135999709367752,0.9162576331001093,1024,True
3,train,0.006021238397806883,0.002576967002823949,0.0015922116581350565,0.5296326279640198,0.0031511105627735373,6.446445733308792,8.653637021780014,0.7494194072133656,0.8709841966629028,-0.573047436773777,0.618080735206604,0.15357542037963867,0.6238111853599548,0.17574390769004822,0.8738591419652104,False,5.261701717972755,7.158628851175308,0.44878856796724126,0.5740715265274048,-2.6890529319643974,0.6925128698348999,0.07671121507883072,0.7194033861160278,0.06539670377969742,1.1730134799645042,False,4.456337541341782,0.4725036992167941,-1.140227634459734,8.565498888492584,0.8698252946804798,0.643229391425848,0.8197686059041699,512,5.957484245300293,0.8449782549070063,0.20898194052278996,0.938122020334826,512,4.456337541341782,0.4725036992167941,-1.140227634459734,0.9174055246675068,1024,True
4,train,0.005980157293379307,0.002556591061875224,0.001554502989165485,0.5292633771896362,0.003125914046412696,6.392209976911545,8.640013635158539,0.7488738848444503,0.8709943294525146,0.3051780164241791,0.6268630027770996,0.15394684672355652,0.6238111853599548,0.17574390769004822,0.8759725941400244,False,4.996982216835022,6.835528463125229,0.4471606108289822,0.574444055557251,-1.7667364329099655,0.7017359733581543,0.07622990757226944,0.7194033861160278,0.06539670377969742,1.1656536670267963,False,4.460379481315613,0.4723172309527138,-1.1433769017457962,8.561761677265167,0.8697905597890618,0.6744831800460815,0.8213277412428416,512,5.95320463180542,0.8449913530814672,0.2172789303585887,0.9390719128516521,512,4.460379481315613,0.4723172309527138,-1.1433769017457962,0.918595114246285,1024,True
5,train,0.0061009651981294155,0.0025389492511749268,0.0016096694162115455,0.5514360070228577,0.003149658049837032,6.418672204017639,8.678249269723892,0.7492833549124471,0.8700202703475952,0.48461598344147205,0.628657341003418,0.15356115996837616,0.6238111853599548,0.17574390769004822,0.873777998832285,False,5.003953725099564,6.849392503499985,0.4503945868500107,0.5743507146835327,-1.6410758718848228,0.7029925584793091,0.07700905948877335,0.7194033861160278,0.06539670377969742,1.177567905382427,False,4.460928589105606,0.4722885187933623,-1.1419204995036125,8.563923090696335,0.8698743348038844,0.6820961833000183,0.8213703988444468,512,5.952452123165131,0.8449736057256277,0.21253009326756,0.9394149710485185,512,4.460928589105606,0.4722885187933623,-1.1419204995036125,0.9188960007163856,1024,True
6,train,0.006024464033544064,0.0025580672081559896,0.0015783075941726565,0.5354487299919128,0.00313398711198084,6.411602348089218,8.643750101327896,0.7504787271362491,0.8706998229026794,-0.0732750166207552,0.6230784058570862,0.1534242033958435,0.6238111853599548,0.17574390769004822,0.8729987025577638,False,5.133271962404251,7.012897729873657,0.45457371834990334,0.5759798884391785,-2.221877872943878,0.6971845626831055,0.0772460550069809,0.7194033861160278,0.06539670377969742,1.1811918727157948,False,4.460897296667099,0.47233466400829693,-1.144722755998373,8.566292375326157,0.8697879669657643,0.6726845167577267,0.8206231339879395,512,5.95441535115242,0.844953578482766,0.20758304744958878,0.93879246685986,512,4.460897296667099,0.47233466400829693,-1.144722755998373,0.9186746366832901,1024,True
7,train,0.005759229883551598,0.0023861085064709187,0.0015421484131366014,0.5204094052314758,0.003135468585950703,6.412378698587418,8.649730682373047,0.7500138952789592,0.8705078363418579,0.08439278462901711,0.6246551275253296,0.1530134379863739,0.6238111853599548,0.17574390769004822,0.8706614072576385,False,5.090831592679024,6.956493109464645,0.45440272736213433,0.5772481560707092,-2.135351672768593,0.6980498433113098,0.07688642293214798,0.7194033861160278,0.06539670377969742,1.1756926341602185,False,4.458199441432953,0.47242887800974553,-1.141698844730854,8.569202572107315,0.8697257392066222,0.6561186164617538,0.819589787990344,512,5.9563372284173965,0.8451130364633194,0.20304122008383274,0.9379850955297688,512,4.458199441432953,0.47242887800974553,-1.141698844730854,0.9179421871882973,1024,True
8,train,0.005853169597685337,0.0024616236332803965,0.0015621993225067854,0.5220890045166016,0.0031427686111490513,6.4184799790382385,8.675117790699005,0.7503232681914906,0.8700705766677856,0.4431123845279217,0.6282423138618469,0.15166212618350983,0.6238111853599548,0.17574390769004822,0.8629723111141334,False,4.992303252220154,6.828243285417557,0.4579968014626993,0.5790821313858032,-1.8603533506393433,0.700799822807312,0.07626032084226608,0.7194033861160278,0.06539670377969742,1.1661187251755845,False,4.4581301510334015,0.4725685305056862,-1.144363172352314,8.57379287481308,0.8696418747840997,0.6458614952862263,0.8186344641221361,512,5.957909673452377,0.8450731607922644,0.20820035133510828,0.9368084562819524,512,4.4581301510334015,0.4725685305056862,-1.144363172352314,0.9176638586587801,1024,True
9,train,0.006096724886447191,0.002677211072295904,0.001616463647224009,0.5222561359405518,0.0031575015257801035,6.457343697547913,8.672171831130981,0.7492532554887322,0.8707057237625122,-0.6561092101037502,0.6172500848770142,0.15570032596588135,0.6238111853599548,0.17574390769004822,0.8859500622945243,False,5.339224636554718,7.282468676567078,0.45812755927687576,0.5784333944320679,-2.765420451760292,0.6917491555213928,0.07897227257490158,0.7194033861160278,0.06539670377969742,1.207587967138777,False,4.462005943059921,0.4723934938487948,-1.1453121900558472,8.562174439430237,0.8696517543349405,0.649583712220192,0.8210127630167952,512,5.952953547239304,0.8449652014362126,0.19657667726278305,0.9388946008254849,512,4.462005943059921,0.4723934938487948,-1.1453121900558472,0.9192524845349936,1024,True
