epoch,train_loss,train_huber_loss,train_plcc_loss,train_mae,train_rmse,val_loss,val_huber_loss,val_plcc_loss,val_mae,val_rmse,val_srcc,val_plcc,val_bias,val_pred_mean,val_pred_std,val_target_mean,val_target_std,val_std_ratio,mode_collapse,sample_count,batch_count,val_mae_100,val_rmse_100,val_bias_100
1,0.0558771975338459,0.0077261063270270824,0.48151102662086487,0.1178005039691925,0.14676055312156677,0.028871233202517034,0.005058974958956242,0.2381225824356079,0.08776825666427612,0.11606957763433456,0.6320106443023169,0.7618774175643921,-0.015901925042271614,0.6079092025756836,0.15006019175052643,0.6238111853599548,0.17574390769004822,0.8538571477264576,False,2048,256,8.776825666427612,11.606957763433456,-1.5901925042271614
2,0.04031473398208618,0.00599569920450449,0.34319007396698,0.09844270348548889,0.12384485453367233,0.025361749436706306,0.00456715514883399,0.20794594287872314,0.0817062258720398,0.1101091057062149,0.6565208773839681,0.7920540571212769,0.00790887326002121,0.6317200660705566,0.16268928349018097,0.6238111853599548,0.17574390769004822,0.925717913232639,False,2048,256,8.17062258720398,11.01091057062149,0.790887326002121
3,0.037211403250694275,0.005210120230913162,0.3200131058692932,0.08880637586116791,0.11382954567670822,0.023434402234852315,0.004500587470829487,0.18933814764022827,0.08128638565540314,0.10895238071680069,0.6750749414759726,0.8106618523597717,-0.008351352997124195,0.6154597997665405,0.17728741466999054,0.6238111853599548,0.17574390769004822,1.0087827054731509,False,2048,256,8.128638565540314,10.895238071680069,-0.8351352997124195
4,0.03603796660900116,0.005158130079507828,0.3087981343269348,0.08826173096895218,0.11328848451375961,0.022092488501220944,0.004217943642288446,0.17874544858932495,0.07664640247821808,0.10569664090871811,0.684414540542654,0.821254551410675,0.009783225134015083,0.6335943937301636,0.1762903779745102,0.6238111853599548,0.17574390769004822,1.0031094692933866,False,2048,256,7.664640247821808,10.569664090871811,0.9783225134015083
5,0.033547285944223404,0.00465686758980155,0.28890442848205566,0.08229517936706543,0.10565356910228729,0.02144057843834162,0.003952146507799625,0.17488431930541992,0.07311595976352692,0.10137481242418289,0.6799507968997774,0.8251156806945801,-0.008695618249475956,0.6151155829429626,0.1635276824235916,0.6238111853599548,0.17574390769004822,0.9304884850517731,False,2048,256,7.311595976352692,10.13748124241829,-0.8695618249475956
6,0.034265924245119095,0.004578263498842716,0.29687681794166565,0.0812314972281456,0.1055571511387825,0.02070483509451151,0.003930085338652134,0.16774749755859375,0.07316066324710846,0.100789375603199,0.6912883333356159,0.8322525024414062,-0.012668423354625702,0.6111427545547485,0.16873636841773987,0.6238111853599548,0.17574390769004822,0.9601264171008008,False,2048,256,7.316066324710846,10.0789375603199,-1.2668423354625702
7,0.030259838327765465,0.004323113244026899,0.2593669593334198,0.07844153791666031,0.10070843249559402,0.020751521550118925,0.003923228941857815,0.16828292608261108,0.07243432104587555,0.10150224715471268,0.6885831270237254,0.8317170739173889,0.01362694799900055,0.6374381184577942,0.17059308290481567,0.6238111853599548,0.17574390769004822,0.9706913038811176,False,2048,256,7.243432104587555,10.150224715471268,1.362694799900055
8,0.02992548979818821,0.00410654628649354,0.25818929076194763,0.07576262205839157,0.09803397953510284,0.02100577875971794,0.004802923649549484,0.16202855110168457,0.0831727534532547,0.11519584059715271,0.6996640651598983,0.8379714488983154,-0.03974853456020355,0.5840626955032349,0.19719013571739197,0.6238111853599548,0.17574390769004822,1.1220311321696996,False,2048,256,8.31727534532547,11.519584059715271,-3.9748534560203552
9,0.0313035286962986,0.0044658491387963295,0.2683766186237335,0.0798502117395401,0.10359395295381546,0.019456912111490966,0.0035752723924815655,0.158816397190094,0.06858333200216293,0.09536958485841751,0.7028842047739923,0.841183602809906,0.000756202032789588,0.6245673894882202,0.15579737722873688,0.6238111853599548,0.17574390769004822,0.8865022934593547,False,2048,256,6.858333200216293,9.536958485841751,0.0756202032789588
10,0.028131235390901566,0.004001493100076914,0.2412973791360855,0.07445448637008667,0.09615551680326462,0.01898396508768201,0.0035232235677540302,0.15460741519927979,0.06781163811683655,0.09449008852243423,0.7097357855165937,0.8453925848007202,0.009483585134148598,0.6332947611808777,0.15370318293571472,0.6238111853599548,0.17574390769004822,0.8745861233880964,False,2048,256,6.781163811683655,9.449008852243423,0.9483585134148598
