image_path,available_models,reranking_ready,baseline_final_score,stage5_student_aesthetic_score,baseline_aadb_score,baseline_koniq_score,baseline_flive_image_score,baseline_flive_patch_mean,baseline_flive_patch_min,aadb_score,koniq_score,flive_image_score,flive_patch_mean,flive_patch_min,nima_mean_score,alamp_score,musiq_score,rgnet_score,pairwise_recovered_score,num_models
test_samples/KakaoTalk_20260330_180646779.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.5035243034362793,,37.8125,71.0,71.88749694824219,68.9375,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_01.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.442277193069458,,31.5,63.71875,70.4124984741211,69.375,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_02.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.49353304505348206,,38.84375,71.8125,72.07499694824219,69.1875,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_03.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.3380921185016632,,27.015625,54.3125,71.0875015258789,70.125,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_04.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.4645836055278778,,29.46875,62.46875,71.13749694824219,70.5,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_05.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.5033573508262634,,37.71875,73.8125,72.11250305175781,69.5625,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_06.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.4705660343170166,,39.1875,72.5625,72.0875015258789,69.5,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_07.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.475085586309433,,39.90625,70.6875,71.86250305175781,70.3125,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_08.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.46507441997528076,,35.375,63.40625,71.0374984741211,69.9375,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_09.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.47026723623275757,,30.546875,63.34375,71.0250015258789,70.125,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_10.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.4908338785171509,,43.0,72.5,72.1500015258789,69.6875,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_11.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.4621720612049103,,48.21875,72.1875,72.5625,69.5625,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_12.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.49009808897972107,,36.09375,69.0,72.0999984741211,71.4375,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_13.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.4330542981624603,,32.5625,62.9375,72.7874984741211,71.0,,,,,,,,,,,4
test_samples/KakaoTalk_20260330_180646779_14.jpg,"stage5_student_aesthetic,baseline_koniq,baseline_flive_image,baseline_flive_patch",True,,0.38650524616241455,,25.03125,57.875,71.6500015258789,70.375,,,,,,,,,,,4
