epoch,train_loss,train_huber_loss,train_plcc_loss,train_rank_loss,train_false_positive_loss,sample_count,val_loss,val_huber_loss,val_plcc_loss,val_false_positive_loss,val_mae,val_rmse,val_srcc,val_plcc,val_bias,val_pred_mean,val_pred_std,val_target_mean,val_target_std,val_std_ratio,mode_collapse,val_mae_100,val_rmse_100,val_bias_100
1,0.04399655759334564,0.006789082661271095,0.37207457423210144,0.0,0.0,2048,0.022396052721887827,0.005326712969690561,0.17069339752197266,0.0,0.09289373457431793,0.11590375751256943,0.6931759073309058,0.8293066024780273,0.04921257123351097,0.6730237007141113,0.18272733688354492,0.6238111853599548,0.17574390769004822,1.0397363941958835,False,9.289373457431793,11.590375751256943,4.921257123351097
2,0.028352197259664536,0.004761980846524239,0.23590213060379028,0.0,0.0,2048,0.01992563642561436,0.004628950729966164,0.15296685695648193,0.0,0.08452644944190979,0.10682536661624908,0.7017681114091814,0.8470331430435181,0.041714176535606384,0.6655253171920776,0.17960554361343384,0.6238111853599548,0.17574390769004822,1.0219730855774314,False,8.452644944190979,10.682536661624908,4.171417653560638
3,0.0270466860383749,0.0041945013217628,0.22852195799350739,0.0,0.0,2048,0.01963630933314562,0.004080605693161488,0.1555570363998413,0.0,0.07664377987384796,0.10065238922834396,0.6983157427130925,0.8444429636001587,-0.005294029600918293,0.6185171604156494,0.18363633751869202,0.6238111853599548,0.17574390769004822,1.0449086965937011,False,7.664377987384796,10.065238922834396,-0.5294029600918293
4,0.024563658982515335,0.003725997870787978,0.20837663114070892,0.0,0.0,2048,0.016981249256059528,0.0036880902480334044,0.13293159008026123,0.0,0.07157685607671738,0.09500129520893097,0.7336885830879103,0.8670684099197388,-0.008672898635268211,0.6151382923126221,0.1882200986146927,0.6238111853599548,0.17574390769004822,1.070990744934659,False,7.157685607671738,9.500129520893097,-0.8672898635268211
5,0.023967506363987923,0.003667172510176897,0.20300337672233582,0.0,0.0,2048,0.016116207465529442,0.003466254100203514,0.12649953365325928,0.0,0.06918606907129288,0.09128168970346451,0.7387121064979099,0.8735004663467407,0.005459007807075977,0.6292701959609985,0.1848600208759308,0.6238111853599548,0.17574390769004822,1.051871574415884,False,6.918606907129288,9.12816897034645,0.5459007807075977
6,0.022341931238770485,0.0033779307268559933,0.18963992595672607,0.0,0.0,2048,0.01684884079732001,0.0033344293478876352,0.13514411449432373,0.0,0.06660950183868408,0.09077673405408859,0.7260740072395533,0.8648558855056763,0.013920563273131847,0.6377317905426025,0.16819904744625092,0.6238111853599548,0.17574390769004822,0.9570690082918616,False,6.660950183868408,9.07767340540886,1.3920563273131847
7,0.02260567806661129,0.0031650816090404987,0.19440600275993347,0.0,0.0,2048,0.01567497062496841,0.003114680526778102,0.12560290098190308,0.0,0.06375447660684586,0.08625537902116776,0.7412361940542571,0.8743970990180969,0.002824456663802266,0.6266356706619263,0.16634052991867065,0.6238111853599548,0.17574390769004822,0.946493862034968,False,6.375447660684586,8.625537902116776,0.2824456663802266
8,0.02064536325633526,0.0030612461268901825,0.17584119737148285,0.0,0.0,2048,0.01569329779595137,0.0031820861622691154,0.1251121163368225,0.0,0.06470365822315216,0.08780071884393692,0.7546607249301568,0.8748878836631775,0.02026715874671936,0.6440783143043518,0.16105414927005768,0.6238111853599548,0.17574390769004822,0.9164138398134505,False,6.470365822315216,8.780071884393692,2.026715874671936
9,0.019105469807982445,0.002873498247936368,0.16231970489025116,0.0,0.0,2048,0.015088578313589097,0.003268774598836899,0.11819803714752197,0.0,0.06580203026533127,0.08889440447092056,0.7496412350487592,0.881801962852478,-0.020760033279657364,0.6030511856079102,0.17949524521827698,0.6238111853599548,0.17574390769004822,1.0213454769359336,False,6.580203026533127,8.889440447092056,-2.0760033279657364
10,0.02099001221358776,0.0029661650769412518,0.18023844063282013,0.0,0.0,2048,0.01647383375093341,0.003303788136690855,0.13170045614242554,0.0,0.06638052314519882,0.08937030285596848,0.7355200700169668,0.8682995438575745,-0.013779900968074799,0.610031247138977,0.16665196418762207,0.6238111853599548,0.17574390769004822,0.9482659534436824,False,6.638052314519882,8.937030285596848,-1.3779900968074799
